00000000013000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001300000000000000000PRECINCTS COUNTED - TOTAL                               PRECINCTS COUNTED - TOTAL                                      00 
004800300130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 7                                       OVER VOTES                                                     01Y
004800400130000225000001000000840000131000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 7                                       UNDER VOTES                                                    01Y
004900100130006846000022000029100003716000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 8                                       YES                                                            01Y
004900200130000455000002100001960000238000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 8                                       NO                                                             01Y
004900300130000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 8                                       OVER VOTES                                                     01Y
004900400130000275000001400000970000164000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 8                                       UNDER VOTES                                                    01Y
005000100130006574000020500027990003570000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 9                                       YES                                                            01Y
005000200130000744000003500003110000398000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 9                                       NO                                                             01Y
005000300130000002000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 9                                       OVER VOTES                                                     01Y
005000400130000257000001500000930000149000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 9                                       UNDER VOTES                                                    01Y
005100100130006857000021900029040003734000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 10                                      YES                                                            01Y
005100200130000399000001700001840000198000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 REP       REP Proposition 10                                      NO                                                             01Y
005100300130000002000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 10                                      OVER VOTES                                                     01Y
005100400130000319000001900001140000186000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           REP Proposition 10                                      UNDER VOTES                                                    01Y
005200100130000284000004200001060000136000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM US Rep, District 15                                 Vanessa Stephanie Tijerina                                     01 
005200200130000201000003400000810000086000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM US Rep, District 15                                 Eliza Alvarado                                                 01 
005200300130000280000006500001260000089000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM US Rep, District 15                                 Ruben Ramirez                                                  01 
005200400130000063000001100000220000030000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM US Rep, District 15                                 Julio Garza                                                    01 
005200500130000266000004200001120000112000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM US Rep, District 15                                 Michelle Vallejo                                               01 
005200600130000106000003300000380000035000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM US Rep, District 15                                 John Villarreal Rigney                                         01 
005200700130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM US Rep, District 15                                 OVER VOTES                                                     01 
005200800130000092000002300000310000038000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM US Rep, District 15                                 UNDER VOTES                                                    01 
005300100130000019000000000000060000013000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Governor                                            Rich Wakeland                                                  01 
005300200130000029000000600000120000011000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Governor                                            Inocencio (Inno) Barrientez                                    01 
005300300130001158000023100004640000463000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Governor                                            Beto O'Rourke                                                  01 
005300400130000031000000300000140000014000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Governor                                            Michael Cooper                                                 01 
005300500130000036000000600000140000016000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Governor                                            Joy Diaz                                                       01 
005300600130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Governor                                            OVER VOTES                                                     01 
005300700130000019000000400000060000009000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Governor                                            UNDER VOTES                                                    01 
005400100130000400000005300001840000163000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Lieutenant Governor                                 Carla Brailey                                                  01 
005400200130000437000010100001560000180000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Lieutenant Governor                                 Mike Collier                                                   01 
005400300130000343000006500001450000133000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Lieutenant Governor                                 Michelle Beckley                                               01 
005400400130000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Lieutenant Governor                                 OVER VOTES                                                     01 
005400500130000111000003100000310000049000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Lieutenant Governor                                 UNDER VOTES                                                    01 
005500100130000781000014500003170000319000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Attorney General                                    Rochelle Mercedes Garza                                        01 
005500200130000129000001800000540000057000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Attorney General                                    Mike Fields                                                    01 
005500300130000097000002300000360000038000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Attorney General                                    Lee Merritt                                                    01 
005500400130000160000003200000650000063000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Attorney General                                    Joe Jaworski                                                   01 
005500500130000042000000800000150000019000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Attorney General                                    S. "Tbone" Raynor                                              01 
005500600130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Attorney General                                    OVER VOTES                                                     01 
005500700130000083000002400000290000030000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Attorney General                                    UNDER VOTES                                                    01 
005600100130000578000011300002410000224000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Comptroller of Public Accounts                      Angel Luis Vega                                                01 
005600200130000419000008400001750000160000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Comptroller of Public Accounts                      Janet T. Dudding                                               01 
005600300130000176000002900000610000086000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Comptroller of Public Accounts                      Tim Mahoney                                                    01 
005600400130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Comptroller of Public Accounts                      OVER VOTES                                                     01 
005600500130000119000002400000390000056000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Comptroller of Public Accounts                      UNDER VOTES                                                    01 
005700100130000652000011600002770000259000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Comm General Land Office                            Sandragrace Martinez                                           01 
005700200130000250000006100000900000099000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Comm General Land Office                            Jay Kleberg                                                    01 
005700300130000176000003300000680000075000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Comm General Land Office                            Jinny Suh                                                      01 
005700400130000112000001700000490000046000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Comm General Land Office                            Michael Lange                                                  01 
005700500130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Comm General Land Office                            OVER VOTES                                                     01 
005700600130000102000002300000320000047000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Comm General Land Office                            UNDER VOTES                                                    01 
005800100130000256000005400001050000097000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Commissioner of Agriculture                         Ed Ireson                                                      01 
005800200130000910000015800003710000381000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Commissioner of Agriculture                         Susan Hays                                                     01 
005800300130000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Commissioner of Agriculture                         OVER VOTES                                                     01 
005800400130000125000003800000400000047000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Commissioner of Agriculture                         UNDER VOTES                                                    01 
005900100130001063000019500004360000432000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Railroad Commissioner                               Luke Warford                                                   01 
005900200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Railroad Commissioner                               OVER VOTES                                                     01 
005900300130000229000005500000800000094000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Railroad Commissioner                               UNDER VOTES                                                    01 
006000100130001080000019800004470000435000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Justice, Supreme Court, Pl 3                        Erin A Nowell                                                  01 
006000200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Justice, Supreme Court, Pl 3                        OVER VOTES                                                     01 
006000300130000212000005200000690000091000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Justice, Supreme Court, Pl 3                        UNDER VOTES                                                    01 
006100100130001084000020100004460000437000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Justice, Supreme Court, Pl 5                        Amanda Reichek                                                 01 
006100200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Justice, Supreme Court, Pl 5                        OVER VOTES                                                     01 
006100300130000208000004900000700000089000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Justice, Supreme Court, Pl 5                        UNDER VOTES                                                    01 
006200100130001109000020400004540000451000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Justice, Supreme Court, Pl 9                        Julia Maldonado                                                01 
006200200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Justice, Supreme Court, Pl 9                        OVER VOTES                                                     01 
006200300130000183000004600000620000075000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Justice, Supreme Court, Pl 9                        UNDER VOTES                                                    01 
006300100130001076000019800004430000435000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Judge, Ct of Crim App, Pl 5                         Dana Huffman                                                   01 
006300200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Judge, Ct of Crim App, Pl 5                         OVER VOTES                                                     01 
006300300130000216000005200000730000091000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Judge, Ct of Crim App, Pl 5                         UNDER VOTES                                                    01 
006400100130001078000020000004440000434000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Judge, Ct of Crim App, Pl 6                         Robert Johnson                                                 01 
006400200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Judge, Ct of Crim App, Pl 6                         OVER VOTES                                                     01 
006400300130000214000005000000720000092000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Judge, Ct of Crim App, Pl 6                         UNDER VOTES                                                    01 
006500100130001118000020900004580000451000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Member, State BoE, Dist 3                           Marisa B. Perez-Diaz                                           01 
006500200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Member, State BoE, Dist 3                           OVER VOTES                                                     01 
006500300130000174000004100000580000075000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Member, State BoE, Dist 3                           UNDER VOTES                                                    01 
006600100130001148000022000004650000463000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM State Senator, Dist 21                              Judith Zaffirini                                               01 
006600200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM State Senator, Dist 21                              OVER VOTES                                                     01 
006600300130000144000003000000510000063000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM State Senator, Dist 21                              UNDER VOTES                                                    01 
006700100130001108000021100004490000448000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM State Representative, Dist 31                       Martha M Gutierrez                                             01 
006700200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM State Representative, Dist 31                       OVER VOTES                                                     01 
006700300130000184000003900000670000078000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM State Representative, Dist 31                       UNDER VOTES                                                    01 
006800100130001119000020900004610000449000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Justice, 4th Ct of App Dist, Pl 6                   Irene Rios                                                     01 
006800200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Justice, 4th Ct of App Dist, Pl 6                   OVER VOTES                                                     01 
006800300130000173000004100000550000077000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Justice, 4th Ct of App Dist, Pl 6                   UNDER VOTES                                                    01 
006900100130001099000020200004520000445000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM Justice, 4th Ct of App Dist, Pl 7, Unexp            Rebecca "Beckie" Palomo                                        01 
006900200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Justice, 4th Ct of App Dist, Pl 7, Unexp            OVER VOTES                                                     01 
006900300130000193000004800000640000081000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM Justice, 4th Ct of App Dist, Pl 7, Unexp            UNDER VOTES                                                    01 
007000100040000503000010200001970000204000000000000000000000000000000000000000000000000000000000000000000000000000000004004004 DEMJOP001 DEM JOP Pct 1                                           Johnny Tejada Villarreal              Precinct No. 1           01 
007000200040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004004004    JOP001 DEM JOP Pct 1                                           OVER VOTES                            Precinct No. 1           01 
007000300040000045000000700000170000021000000000000000000000000000000000000000000000000000000000000000000000000000000004004004    JOP001 DEM JOP Pct 1                                           UNDER VOTES                           Precinct No. 1           01 
007100100130001094000021000004440000440000000000000000000000000000000000000000000000000000000000000000000000000000000013013013 DEM       DEM County Chair                                        Pedro DeHoyos                                                  01 
007100200130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM County Chair                                        OVER VOTES                                                     01 
007100300130000198000004000000720000086000000000000000000000000000000000000000000000000000000000000000000000000000000013013013           DEM County Chair                                        UNDER VOTES                                                    01 
