id,Political,Election,Election,Total,Total Prvsnls,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
432,Anderson,,General Election,,,6,,"State Board of Education, District 9",Brenda Davis,Dem,328,63
434,Anderson,,General Election,,,6,,"State Rep, District 8",Cody Harris,Rep,407,50
435,Anderson,,General Election,,,6,,"State Rep, District 8",R. Edwin Adams,Lib,180,37
437,Anderson,,General Election,,,6,,"Chief Justice,12 Crt of Appeals District",Jim Worthen,Rep,462,66
439,Anderson,,General Election,,,6,,"District Judge, 3rd Judicial District",Mark A. Calhoon,Rep,477,64
441,Anderson,,General Election,,,6,,"District Judge, 349th Judicial District",Pam Foster Fletcher,Rep,489,63
443,Anderson,,General Election,,,6,,Sheriff,Rudy Flores,Rep,506,69
445,Anderson,,General Election,,,6,,Tax Assessor Collector,Margie H. Grissom,Rep,474,63
447,Anderson,,General Election,,,6,,Constable Pct 2,Doug Lightfoot,Rep,335,38
448,Anderson,,General Election,,,6,,Constable Pct 2,Marvin Jenkins,Dem,323,68
449,Anderson,11/3/20,General Election,5,2,7,1398,President,Donald J. Trump / Mike Pence,Rep,137,30
450,Anderson,,General Election,,,7,,President,Joseph R. Biden / Kamala D. Harris,Dem,392,70
451,Anderson,,General Election,,,7,,President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Lib,3,0
452,Anderson,,General Election,,,7,,President,Howie Hawkins / Angela Walker,Grn,0,0
454,Anderson,,General Election,,,7,,President,President R. Boddie/Eric C. Stoneham,,0,0
455,Anderson,,General Election,,,7,,President,Brian Carroll/Amar Patel,,0,0
456,Anderson,,General Election,,,7,,President,Todd Cella/Tim Cella,,0,0
457,Anderson,,General Election,,,7,,President,Jesse Cuellar/Jimmy Monreal,,0,0
458,Anderson,,General Election,,,7,,President,Tom Hoefling/Andy Prior,,0,0
459,Anderson,,General Election,,,7,,President,Gloria La Riva/Leonard Peltier,,0,0
460,Anderson,,General Election,,,7,,President,Abram Loeb/Jennifer Jairala,,0,0
461,Anderson,,General Election,,,7,,President,Robert Morrow/Anne Beckett,,0,0
462,Anderson,,General Election,,,7,,President,Kasey Wells/Rachel Wells,,0,0
464,Anderson,,General Election,,,7,,United States Senator,John Coryn,Rep,132,25
465,Anderson,,General Election,,,7,,United States Senator,"Mary ""MJ"" Hegar",Dem,385,70
466,Anderson,,General Election,,,7,,United States Senator,Kerry Douglas Mckennon,Lib,2,1
467,Anderson,,General Election,,,7,,United States Senator,David B. Collins,Grn,6,1
469,Anderson,,General Election,,,7,,United States Senator,Ricardo Turullols-Bonilla,,,
471,Anderson,,General Election,,,7,,U.S.Rep Dist 5,Lance Gooden,Rep,136,26
472,Anderson,,General Election,,,7,,U.S.Rep Dist 5,Carolyn Salter,Dem,382,70
473,Anderson,,General Election,,,7,,U.S.Rep Dist 5,Kevin A. Hale,Lib,10,2
475,Anderson,,General Election,,,7,,Railroad Commissioner,"James ""Jim"" Wright",Rep,139,23
476,Anderson,,General Election,,,7,,Railroad Commissioner,Chrysta Castaneda,Dem,376,70
477,Anderson,,General Election,,,7,,Railroad Commissioner,Matt Sterett,Lib,4,3
478,Anderson,,General Election,,,7,,Railroad Commissioner,"Katija ""Kat"" Gruene",Grn,3,1
480,Anderson,,General Election,,,7,,"Chief Justice, Supreme Court",Nathan Hecht,Rep,130,24
481,Anderson,,General Election,,,7,,"Chief Justice, Supreme Court",Amy Clark Meachum,Dem,387,71
482,Anderson,,General Election,,,7,,"Chief Justice, Supreme Court",Mark Ash,Lib,7,1
484,Anderson,,General Election,,,7,,"Justice, Supreme Court",Jane Bland,Rep,136,28
485,Anderson,,General Election,,,7,,Place 6,Kathy Cheng,Dem,388,68
487,Anderson,,General Election,,,7,,"Justice, Supreme Court",Jeff Boyd,Rep,135,26
488,Anderson,,General Election,,,7,,Place 7,Staci Williams,Dem,383,68
489,Anderson,,General Election,,,7,,Place 7,William Bryan Strange III,Lib,6,2
491,Anderson,,General Election,,,7,,"Justice, Supreme Court",Brett Busby,Rep,133,26
492,Anderson,,General Election,,,7,,Place 8,Gisela D. Triana,Dem,381,70
493,Anderson,,General Election,,,7,,Place 8,Tom Oxford,Lib,9,1
495,Anderson,,General Election,,,7,,"Judge, Court of Criminal Appeals, Pl 3",Bert Richardson,Rep,140,26
496,Anderson,,General Election,,,7,, ,Elizabeth Davis Frizell,Dem,386,71
498,Anderson,,General Election,,,7,,"Judge, Court of Criminal Appeals, Pl 4",Kevin Patrick Yeary,Rep,135,28
499,Anderson,,General Election,,,7,, ,Tina Clinton,Dem,387,68
501,Anderson,,General Election,,,7,,"Judge, Court of Criminal Appleals,Pl 9",David Newell,Rep,142,27
502,Anderson,,General Election,,,7,,"Judge, Court of Criminal Appleals,Pl 9",Brandon Birmingham,Dem,379,70
504,Anderson,,General Election,,,7,,"State Board of Education, District 9",Kevin M. Ellis,Rep,133,26
505,Anderson,,General Election,,,7,,"State Board of Education, District 9",Brenda Davis,Dem,396,71
507,Anderson,,General Election,,,7,,"State Rep, District 8",Cody Harris,Rep,212,48
508,Anderson,,General Election,,,7,,"State Rep, District 8",R. Edwin Adams,Lib,200,30
510,Anderson,,General Election,,,7,,"Chief Justice,12 Crt of Appeals District",Jim Worthen,Rep,298,56
512,Anderson,,General Election,,,7,,"District Judge, 3rd Judicial District",Mark A. Calhoon,Rep,316,54
514,Anderson,,General Election,,,7,,"District Judge, 349th Judicial District",Pam Foster Fletcher,Rep,328,55
516,Anderson,,General Election,,,7,,Sheriff,Rudy Flores,Rep,332,60
518,Anderson,,General Election,,,7,,Tax Assessor Collector,Margie H. Grissom,Rep,302,50
520,Anderson,,General Election,,,7,,Constable Pct 2,Doug Lightfoot,Rep,160,28
521,Anderson,,General Election,,,7,,Constable Pct 2,Marvin Jenkins,Dem,362,69
522,Anderson,11/3/20,General Election,4,3,8,325,President,Donald J. Trump / Mike Pence,Rep,59,16
523,Anderson,,General Election,,,8,,President,Joseph R. Biden / Kamala D. Harris,Dem,78,14
524,Anderson,,General Election,,,8,,President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Lib,2,1
525,Anderson,,General Election,,,8,,President,Howie Hawkins / Angela Walker,Grn,1,0
527,Anderson,,General Election,,,8,,President,President R. Boddie/Eric C. Stoneham,,0,0
528,Anderson,,General Election,,,8,,President,Brian Carroll/Amar Patel,,0,0
529,Anderson,,General Election,,,8,,President,Todd Cella/Tim Cella,,0,0
530,Anderson,,General Election,,,8,,President,Jesse Cuellar/Jimmy Monreal,,0,0
531,Anderson,,General Election,,,8,,President,Tom Hoefling/Andy Prior,,0,0
532,Anderson,,General Election,,,8,,President,Gloria La Riva/Leonard Peltier,,0,0
533,Anderson,,General Election,,,8,,President,Abram Loeb/Jennifer Jairala,,0,0
534,Anderson,,General Election,,,8,,President,Robert Morrow/Anne Beckett,,0,0
535,Anderson,,General Election,,,8,,President,Kasey Wells/Rachel Wells,,0,0
537,Anderson,,General Election,,,8,,United States Senator,John Coryn,Rep,58,11
538,Anderson,,General Election,,,8,,United States Senator,"Mary ""MJ"" Hegar",Dem,76,17
539,Anderson,,General Election,,,8,,United States Senator,Kerry Douglas Mckennon,Lib,1,0
540,Anderson,,General Election,,,8,,United States Senator,David B. Collins,Grn,2,1
542,Anderson,,General Election,,,8,,United States Senator,Ricardo Turullols-Bonilla,,,
544,Anderson,,General Election,,,8,,U.S.Rep Dist 5,Lance Gooden,Rep,59,11
545,Anderson,,General Election,,,8,,U.S.Rep Dist 5,Carolyn Salter,Dem,78,17
546,Anderson,,General Election,,,8,,U.S.Rep Dist 5,Kevin A. Hale,Lib,3,0
548,Anderson,,General Election,,,8,,Railroad Commissioner,"James ""Jim"" Wright",Rep,58,11
549,Anderson,,General Election,,,8,,Railroad Commissioner,Chrysta Castaneda,Dem,75,13
550,Anderson,,General Election,,,8,,Railroad Commissioner,Matt Sterett,Lib,4,2
551,Anderson,,General Election,,,8,,Railroad Commissioner,"Katija ""Kat"" Gruene",Grn,0,2
553,Anderson,,General Election,,,8,,"Chief Justice, Supreme Court",Nathan Hecht,Rep,58,11
554,Anderson,,General Election,,,8,,"Chief Justice, Supreme Court",Amy Clark Meachum,Dem,78,15
555,Anderson,,General Election,,,8,,"Chief Justice, Supreme Court",Mark Ash,Lib,1,1
557,Anderson,,General Election,,,8,,"Justice, Supreme Court",Jane Bland,Rep,59,12
558,Anderson,,General Election,,,8,,Place 6,Kathy Cheng,Dem,77,16
560,Anderson,,General Election,,,8,,"Justice, Supreme Court",Jeff Boyd,Rep,59,12
561,Anderson,,General Election,,,8,,Place 7,Staci Williams,Dem,74,15
562,Anderson,,General Election,,,8,,Place 7,William Bryan Strange III,Lib,3,1
564,Anderson,,General Election,,,8,,"Justice, Supreme Court",Brett Busby,Rep,59,11
565,Anderson,,General Election,,,8,,Place 8,Gisela D. Triana,Dem,75,16
566,Anderson,,General Election,,,8,,Place 8,Tom Oxford,Lib,3,1
568,Anderson,,General Election,,,8,,"Judge, Court of Criminal Appeals, Pl 3",Bert Richardson,Rep,60,11
569,Anderson,,General Election,,,8,, ,Elizabeth Davis Frizell,Dem,78,17
571,Anderson,,General Election,,,8,,"Judge, Court of Criminal Appeals, Pl 4",Kevin Patrick Yeary,Rep,60,13
572,Anderson,,General Election,,,8,, ,Tina Clinton,Dem,77,15
574,Anderson,,General Election,,,8,,"Judge, Court of Criminal Appleals,Pl 9",David Newell,Rep,61,11
575,Anderson,,General Election,,,8,,"Judge, Court of Criminal Appleals,Pl 9",Brandon Birmingham,Dem,76,17
577,Anderson,,General Election,,,8,,"State Board of Education, District 9",Kevin M. Ellis,Rep,59,13
578,Anderson,,General Election,,,8,,"State Board of Education, District 9",Brenda Davis,Dem,79,15
580,Anderson,,General Election,,,8,,"State Rep, District 8",Cody Harris,Rep,78,18
581,Anderson,,General Election,,,8,,"State Rep, District 8",R. Edwin Adams,Lib,43,6
583,Anderson,,General Election,,,8,,"Chief Justice,12 Crt of Appeals District",Jim Worthen,Rep,94,22
585,Anderson,,General Election,,,8,,"District Judge, 3rd Judicial District",Mark A. Calhoon,Rep,99,23
587,Anderson,,General Election,,,8,,"District Judge, 349th Judicial District",Pam Foster Fletcher,Rep,99,19
589,Anderson,,General Election,,,8,,Sheriff,Rudy Flores,Rep,103,20
591,Anderson,,General Election,,,8,,Tax Assessor Collector,Margie H. Grissom,Rep,97,21
593,Anderson,,General Election,,,8,,Constable Pct 2,Doug Lightfoot,Rep,57,11
594,Anderson,,General Election,,,8,,Constable Pct 2,Marvin Jenkins,Dem,80,15
595,Anderson,11/3/20,General Election,2,2,9,1393,President,Donald J. Trump / Mike Pence,Rep,578,159
596,Anderson,,General Election,,,9,,President,Joseph R. Biden / Kamala D. Harris,Dem,130,30
597,Anderson,,General Election,,,9,,President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Lib,3,2
598,Anderson,,General Election,,,9,,President,Howie Hawkins / Angela Walker,Grn,0,0
600,Anderson,,General Election,,,9,,President,President R. Boddie/Eric C. Stoneham,,0,0
601,Anderson,,General Election,,,9,,President,Brian Carroll/Amar Patel,,0,0
602,Anderson,,General Election,,,9,,President,Todd Cella/Tim Cella,,0,0
603,Anderson,,General Election,,,9,,President,Jesse Cuellar/Jimmy Monreal,,0,0
604,Anderson,,General Election,,,9,,President,Tom Hoefling/Andy Prior,,0,0
605,Anderson,,General Election,,,9,,President,Gloria La Riva/Leonard Peltier,,0,0
606,Anderson,,General Election,,,9,,President,Abram Loeb/Jennifer Jairala,,0,0
607,Anderson,,General Election,,,9,,President,Robert Morrow/Anne Beckett,,0,0
608,Anderson,,General Election,,,9,,President,Kasey Wells/Rachel Wells,,0,0
610,Anderson,,General Election,,,9,,United States Senator,John Coryn,Rep,571,153
611,Anderson,,General Election,,,9,,United States Senator,"Mary ""MJ"" Hegar",Dem,125,31
612,Anderson,,General Election,,,9,,United States Senator,Kerry Douglas Mckennon,Lib,8,3
613,Anderson,,General Election,,,9,,United States Senator,David B. Collins,Grn,1,0
615,Anderson,,General Election,,,9,,United States Senator,Ricardo Turullols-Bonilla,,,
617,Anderson,,General Election,,,9,,U.S.Rep Dist 5,Lance Gooden,Rep,568,152
618,Anderson,,General Election,,,9,,U.S.Rep Dist 5,Carolyn Salter,Dem,128,30
619,Anderson,,General Election,,,9,,U.S.Rep Dist 5,Kevin A. Hale,Lib,10,5
621,Anderson,,General Election,,,9,,Railroad Commissioner,"James ""Jim"" Wright",Rep,567,153
622,Anderson,,General Election,,,9,,Railroad Commissioner,Chrysta Castaneda,Dem,112,24
623,Anderson,,General Election,,,9,,Railroad Commissioner,Matt Sterett,Lib,15,5
624,Anderson,,General Election,,,9,,Railroad Commissioner,"Katija ""Kat"" Gruene",Grn,5,0
626,Anderson,,General Election,,,9,,"Chief Justice, Supreme Court",Nathan Hecht,Rep,565,150
627,Anderson,,General Election,,,9,,"Chief Justice, Supreme Court",Amy Clark Meachum,Dem,123,23
628,Anderson,,General Election,,,9,,"Chief Justice, Supreme Court",Mark Ash,Lib,10,7
630,Anderson,,General Election,,,9,,"Justice, Supreme Court",Jane Bland,Rep,576,153
631,Anderson,,General Election,,,9,,Place 6,Kathy Cheng,Dem,120,30
633,Anderson,,General Election,,,9,,"Justice, Supreme Court",Jeff Boyd,Rep,564,157
634,Anderson,,General Election,,,9,,Place 7,Staci Williams,Dem,120,25
635,Anderson,,General Election,,,9,,Place 7,William Bryan Strange III,Lib,13,3
637,Anderson,,General Election,,,9,,"Justice, Supreme Court",Brett Busby,Rep,572,155
638,Anderson,,General Election,,,9,,Place 8,Gisela D. Triana,Dem,119,25
639,Anderson,,General Election,,,9,,Place 8,Tom Oxford,Lib,9,5
641,Anderson,,General Election,,,9,,"Judge, Court of Criminal Appeals, Pl 3",Bert Richardson,Rep,574,151
642,Anderson,,General Election,,,9,, ,Elizabeth Davis Frizell,Dem,124,31
644,Anderson,,General Election,,,9,,"Judge, Court of Criminal Appeals, Pl 4",Kevin Patrick Yeary,Rep,575,153
645,Anderson,,General Election,,,9,, ,Tina Clinton,Dem,123,30
647,Anderson,,General Election,,,9,,"Judge, Court of Criminal Appleals,Pl 9",David Newell,Rep,576,149
648,Anderson,,General Election,,,9,,"Judge, Court of Criminal Appleals,Pl 9",Brandon Birmingham,Dem,119,32
650,Anderson,,General Election,,,9,,"State Board of Education, District 9",Kevin M. Ellis,Rep,568,150
651,Anderson,,General Election,,,9,,"State Board of Education, District 9",Brenda Davis,Dem,130,33
653,Anderson,,General Election,,,9,,"State Rep, District 8",Cody Harris,Rep,597,165
654,Anderson,,General Election,,,9,,"State Rep, District 8",R. Edwin Adams,Lib,82,12
656,Anderson,,General Election,,,9,,"Chief Justice,12 Crt of Appeals District",Jim Worthen,Rep,613,158
658,Anderson,,General Election,,,9,,"District Judge, 3rd Judicial District",Mark A. Calhoon,Rep,625,162
660,Anderson,,General Election,,,9,,"District Judge, 349th Judicial District",Pam Foster Fletcher,Rep,613,161
662,Anderson,,General Election,,,9,,Sheriff,Rudy Flores,Rep,640,166
664,Anderson,,General Election,,,9,,Tax Assessor Collector,Margie H. Grissom,Rep,622,157
666,Anderson,,General Election,,,9,,Constable Pct 2,Doug Lightfoot,Rep,533,135
667,Anderson,,General Election,,,9,,Constable Pct 2,Marvin Jenkins,Dem,166,52
668,Anderson,11/3/20,General Election,3,3,10,577,President,Donald J. Trump / Mike Pence,Rep,234,93
669,Anderson,,General Election,,,10,,President,Joseph R. Biden / Kamala D. Harris,Dem,28,14
670,Anderson,,General Election,,,10,,President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Lib,0,0
671,Anderson,,General Election,,,10,,President,Howie Hawkins / Angela Walker,Grn,0,0
673,Anderson,,General Election,,,10,,President,President R. Boddie/Eric C. Stoneham,,0,0
674,Anderson,,General Election,,,10,,President,Brian Carroll/Amar Patel,,0,0
675,Anderson,,General Election,,,10,,President,Todd Cella/Tim Cella,,0,0
676,Anderson,,General Election,,,10,,President,Jesse Cuellar/Jimmy Monreal,,0,0
677,Anderson,,General Election,,,10,,President,Tom Hoefling/Andy Prior,,0,0
678,Anderson,,General Election,,,10,,President,Gloria La Riva/Leonard Peltier,,0,0
679,Anderson,,General Election,,,10,,President,Abram Loeb/Jennifer Jairala,,0,0
680,Anderson,,General Election,,,10,,President,Robert Morrow/Anne Beckett,,0,0
681,Anderson,,General Election,,,10,,President,Kasey Wells/Rachel Wells,,0,0
683,Anderson,,General Election,,,10,,United States Senator,John Coryn,Rep,232,96
684,Anderson,,General Election,,,10,,United States Senator,"Mary ""MJ"" Hegar",Dem,26,11
685,Anderson,,General Election,,,10,,United States Senator,Kerry Douglas Mckennon,Lib,1,1
686,Anderson,,General Election,,,10,,United States Senator,David B. Collins,Grn,1,0
688,Anderson,,General Election,,,10,,United States Senator,Ricardo Turullols-Bonilla,,,
690,Anderson,,General Election,,,10,,U.S.Rep Dist 5,Lance Gooden,Rep,235,95
691,Anderson,,General Election,,,10,,U.S.Rep Dist 5,Carolyn Salter,Dem,26,13
692,Anderson,,General Election,,,10,,U.S.Rep Dist 5,Kevin A. Hale,Lib,2,0
694,Anderson,,General Election,,,10,,Railroad Commissioner,"James ""Jim"" Wright",Rep,229,95
695,Anderson,,General Election,,,10,,Railroad Commissioner,Chrysta Castaneda,Dem,26,11
696,Anderson,,General Election,,,10,,Railroad Commissioner,Matt Sterett,Lib,1,2
697,Anderson,,General Election,,,10,,Railroad Commissioner,"Katija ""Kat"" Gruene",Grn,2,0
699,Anderson,,General Election,,,10,,"Chief Justice, Supreme Court",Nathan Hecht,Rep,228,93
700,Anderson,,General Election,,,10,,"Chief Justice, Supreme Court",Amy Clark Meachum,Dem,28,11
701,Anderson,,General Election,,,10,,"Chief Justice, Supreme Court",Mark Ash,Lib,2,3
703,Anderson,,General Election,,,10,,"Justice, Supreme Court",Jane Bland,Rep,233,96
704,Anderson,,General Election,,,10,,Place 6,Kathy Cheng,Dem,26,10
706,Anderson,,General Election,,,10,,"Justice, Supreme Court",Jeff Boyd,Rep,228,96
707,Anderson,,General Election,,,10,,Place 7,Staci Williams,Dem,28,12
708,Anderson,,General Election,,,10,,Place 7,William Bryan Strange III,Lib,4,2
710,Anderson,,General Election,,,10,,"Justice, Supreme Court",Brett Busby,Rep,227,92
711,Anderson,,General Election,,,10,,Place 8,Gisela D. Triana,Dem,25,13
712,Anderson,,General Election,,,10,,Place 8,Tom Oxford,Lib,8,2
714,Anderson,,General Election,,,10,,"Judge, Court of Criminal Appeals, Pl 3",Bert Richardson,Rep,230,93
715,Anderson,,General Election,,,10,, ,Elizabeth Davis Frizell,Dem,28,14
717,Anderson,,General Election,,,10,,"Judge, Court of Criminal Appeals, Pl 4",Kevin Patrick Yeary,Rep,229,94
718,Anderson,,General Election,,,10,, ,Tina Clinton,Dem,29,12
720,Anderson,,General Election,,,10,,"Judge, Court of Criminal Appleals,Pl 9",David Newell,Rep,231,95
721,Anderson,,General Election,,,10,,"Judge, Court of Criminal Appleals,Pl 9",Brandon Birmingham,Dem,28,11
723,Anderson,,General Election,,,10,,"State Board of Education, District 9",Kevin M. Ellis,Rep,230,93
724,Anderson,,General Election,,,10,,"State Board of Education, District 9",Brenda Davis,Dem,29,14
726,Anderson,,General Election,,,10,,"State Rep, District 8",Cody Harris,Rep,240,101
727,Anderson,,General Election,,,10,,"State Rep, District 8",R. Edwin Adams,Lib,20,5
729,Anderson,,General Election,,,10,,"Chief Justice,12 Crt of Appeals District",Jim Worthen,Rep,238,101
731,Anderson,,General Election,,,10,,"District Judge, 3rd Judicial District",Mark A. Calhoon,Rep,238,101
733,Anderson,,General Election,,,10,,"District Judge, 349th Judicial District",Pam Foster Fletcher,Rep,237,100
735,Anderson,,General Election,,,10,,Sheriff,Rudy Flores,Rep,247,104
737,Anderson,,General Election,,,10,,Tax Assessor Collector,Margie H. Grissom,Rep,234,99
739,Anderson,,General Election,,,10,,Constable Pct 2,Doug Lightfoot,Rep,207,87
740,Anderson,,General Election,,,10,,Constable Pct 2,Marvin Jenkins,Dem,53,21
742,Anderson,11/3/20,General Election,9,0,11,1309,President,Donald J. Trump / Mike Pence,Rep,362,281
743,Anderson,,General Election,,,11,,President,Joseph R. Biden / Kamala D. Harris,Dem,145,57
744,Anderson,,General Election,,,11,,President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Lib,5,3
745,Anderson,,General Election,,,11,,President,Howie Hawkins / Angela Walker,Grn,0,0
747,Anderson,,General Election,,,11,,President,President R. Boddie/Eric C. Stoneham,,0,0
748,Anderson,,General Election,,,11,,President,Brian Carroll/Amar Patel,,0,1
749,Anderson,,General Election,,,11,,President,Todd Cella/Tim Cella,,0,0
750,Anderson,,General Election,,,11,,President,Jesse Cuellar/Jimmy Monreal,,0,0
751,Anderson,,General Election,,,11,,President,Tom Hoefling/Andy Prior,,0,0
752,Anderson,,General Election,,,11,,President,Gloria La Riva/Leonard Peltier,,0,0
753,Anderson,,General Election,,,11,,President,Abram Loeb/Jennifer Jairala,,0,0
754,Anderson,,General Election,,,11,,President,Robert Morrow/Anne Beckett,,0,0
755,Anderson,,General Election,,,11,,President,Kasey Wells/Rachel Wells,,0,0
757,Anderson,,General Election,,,11,,United States Senator,John Coryn,Rep,363,277
758,Anderson,,General Election,,,11,,United States Senator,"Mary ""MJ"" Hegar",Dem,137,52
759,Anderson,,General Election,,,11,,United States Senator,Kerry Douglas Mckennon,Lib,9,2
760,Anderson,,General Election,,,11,,United States Senator,David B. Collins,Grn,1,1
762,Anderson,,General Election,,,11,,United States Senator,Ricardo Turullols-Bonilla,,,
764,Anderson,,General Election,,,11,,U.S.Rep Dist 5,Lance Gooden,Rep,362,274
765,Anderson,,General Election,,,11,,U.S.Rep Dist 5,Carolyn Salter,Dem,144,57
766,Anderson,,General Election,,,11,,U.S.Rep Dist 5,Kevin A. Hale,Lib,5,3
768,Anderson,,General Election,,,11,,Railroad Commissioner,"James ""Jim"" Wright",Rep,358,278
769,Anderson,,General Election,,,11,,Railroad Commissioner,Chrysta Castaneda,Dem,136,5+
770,Anderson,,General Election,,,11,,Railroad Commissioner,Matt Sterett,Lib,10,3
771,Anderson,,General Election,,,11,,Railroad Commissioner,"Katija ""Kat"" Gruene",Grn,1,2
773,Anderson,,General Election,,,11,,"Chief Justice, Supreme Court",Nathan Hecht,Rep,350,276
774,Anderson,,General Election,,,11,,"Chief Justice, Supreme Court",Amy Clark Meachum,Dem,146,52
775,Anderson,,General Election,,,11,,"Chief Justice, Supreme Court",Mark Ash,Lib,6,3
777,Anderson,,General Election,,,11,,"Justice, Supreme Court",Jane Bland,Rep,366,278
778,Anderson,,General Election,,,11,,Place 6,Kathy Cheng,Dem,140,51
780,Anderson,,General Election,,,11,,"Justice, Supreme Court",Jeff Boyd,Rep,364,273
781,Anderson,,General Election,,,11,,Place 7,Staci Williams,Dem,140,52
782,Anderson,,General Election,,,11,,Place 7,William Bryan Strange III,Lib,5,5
784,Anderson,,General Election,,,11,,"Justice, Supreme Court",Brett Busby,Rep,358,279
785,Anderson,,General Election,,,11,,Place 8,Gisela D. Triana,Dem,141,47
786,Anderson,,General Election,,,11,,Place 8,Tom Oxford,Lib,8,6
788,Anderson,,General Election,,,11,,"Judge, Court of Criminal Appeals, Pl 3",Bert Richardson,Rep,365,279
789,Anderson,,General Election,,,11,, ,Elizabeth Davis Frizell,Dem,141,53
791,Anderson,,General Election,,,11,,"Judge, Court of Criminal Appeals, Pl 4",Kevin Patrick Yeary,Rep,366,278
792,Anderson,,General Election,,,11,, ,Tina Clinton,Dem,139,53
794,Anderson,,General Election,,,11,,"Judge, Court of Criminal Appleals,Pl 9",David Newell,Rep,366,274
795,Anderson,,General Election,,,11,,"Judge, Court of Criminal Appleals,Pl 9",Brandon Birmingham,Dem,141,55
797,Anderson,,General Election,,,11,,"State Board of Education, District 9",Kevin M. Ellis,Rep,362,279
798,Anderson,,General Election,,,11,,"State Board of Education, District 9",Brenda Davis,Dem,144,54
800,Anderson,,General Election,,,11,,"State Rep, District 8",Cody Harris,Rep,385,296
801,Anderson,,General Election,,,11,,"State Rep, District 8",R. Edwin Adams,Lib,97,27
803,Anderson,,General Election,,,11,,"Chief Justice,12 Crt of Appeals District",Jim Worthen,Rep,425,296
805,Anderson,,General Election,,,11,,"District Judge, 3rd Judicial District",Mark A. Calhoon,Rep,431,298
807,Anderson,,General Election,,,11,,"District Judge, 349th Judicial District",Pam Foster Fletcher,Rep,428,295
809,Anderson,,General Election,,,11,,Sheriff,Rudy Flores,Rep,438,306
811,Anderson,,General Election,,,11,,Tax Assessor Collector,Margie H. Grissom,Rep,426,296
813,Anderson,,General Election,,,11,,Constable Pct 2,Doug Lightfoot,Rep,329,251
814,Anderson,,General Election,,,11,,Constable Pct 2,Marvin Jenkins,Dem,183,87
815,Anderson,11/3/20,General Election,10,1,13-14,1798,President,Donald J. Trump / Mike Pence,Rep,656,129
816,Anderson,,General Election,,,13-14,,President,Joseph R. Biden / Kamala D. Harris,Dem,278,38
817,Anderson,,General Election,,,13-14,,President,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Lib,8,1
818,Anderson,,General Election,,,13-14,,President,Howie Hawkins / Angela Walker,Grn,0,0
820,Anderson,,General Election,,,13-14,,President,President R. Boddie/Eric C. Stoneham,,0,0
821,Anderson,,General Election,,,13-14,,President,Brian Carroll/Amar Patel,,0,0
822,Anderson,,General Election,,,13-14,,President,Todd Cella/Tim Cella,,0,0
823,Anderson,,General Election,,,13-14,,President,Jesse Cuellar/Jimmy Monreal,,0,0
824,Anderson,,General Election,,,13-14,,President,Tom Hoefling/Andy Prior,,0,0
825,Anderson,,General Election,,,13-14,,President,Gloria La Riva/Leonard Peltier,,0,0
826,Anderson,,General Election,,,13-14,,President,Abram Loeb/Jennifer Jairala,,0,0
827,Anderson,,General Election,,,13-14,,President,Robert Morrow/Anne Beckett,,0,0
828,Anderson,,General Election,,,13-14,,President,Kasey Wells/Rachel Wells,,0,0
830,Anderson,,General Election,,,13-14,,United States Senator,John Coryn,Rep,665,124
831,Anderson,,General Election,,,13-14,,United States Senator,"Mary ""MJ"" Hegar",Dem,247,41
832,Anderson,,General Election,,,13-14,,United States Senator,Kerry Douglas Mckennon,Lib,15,3
833,Anderson,,General Election,,,13-14,,United States Senator,David B. Collins,Grn,4,1
835,Anderson,,General Election,,,13-14,,United States Senator,Ricardo Turullols-Bonilla,,,
837,Anderson,,General Election,,,13-14,,U.S.Rep Dist 5,Lance Gooden,Rep,642,129
838,Anderson,,General Election,,,13-14,,U.S.Rep Dist 5,Carolyn Salter,Dem,271,37
839,Anderson,,General Election,,,13-14,,U.S.Rep Dist 5,Kevin A. Hale,Lib,13,3
841,Anderson,,General Election,,,13-14,,Railroad Commissioner,"James ""Jim"" Wright",Rep,640,131
842,Anderson,,General Election,,,13-14,,Railroad Commissioner,Chrysta Castaneda,Dem,253,35
843,Anderson,,General Election,,,13-14,,Railroad Commissioner,Matt Sterett,Lib,19,2
844,Anderson,,General Election,,,13-14,,Railroad Commissioner,"Katija ""Kat"" Gruene",Grn,3,1
846,Anderson,,General Election,,,13-14,,"Chief Justice, Supreme Court",Nathan Hecht,Rep,645,124
847,Anderson,,General Election,,,13-14,,"Chief Justice, Supreme Court",Amy Clark Meachum,Dem,249,37
848,Anderson,,General Election,,,13-14,,"Chief Justice, Supreme Court",Mark Ash,Lib,18,6
850,Anderson,,General Election,,,13-14,,"Justice, Supreme Court",Jane Bland,Rep,657,132
851,Anderson,,General Election,,,13-14,,Place 6,Kathy Cheng,Dem,252,33
853,Anderson,,General Election,,,13-14,,"Justice, Supreme Court",Jeff Boyd,Rep,645,127
854,Anderson,,General Election,,,13-14,,Place 7,Staci Williams,Dem,248,34
