	P	ection				
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 6"				0		
Vote for  1				0		
Kathy Cheng.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Presiding Judge, Ct of Criminal Appeals"				0		
Vote for  1				0		
Maria T. (Terri) Jackson  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 7"				0		
Vote for  1				0		
Ramona Franklin  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
0002 PRECINCT 202				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
"State Representative, District 88"				0		
Vote for  1				0		
Ezekiel Barron.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
				0		
				0		
				0		
0003 PRECINCT 303				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
REGISTERED VOTERS - TOTAL .  .  .  .  .  .	549			0		
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .	229	155	3	158	71	0
BALLOTS CAST - REPUBLICAN PARTY .  .  .  .	229	155	3	158	71	0
BALLOTS CAST - DEMOCRATIC PARTY .  .  .  .	0	0	0	0	0	0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .				0		
0003 PRECINCT 303				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
United States Senator				0		
Vote for  1				0		
Ted Cruz.  .  .  .  .  .  .  .  .  .  .  .	183	125	3	128	55	0
Geraldine Sam .  .  .  .  .  .  .  .  .  .	1	0	0	0	1	0
"Bruce Jacobson, Jr. .  .  .  .  .  .  .  ."	8	7	0	7	1	0
Stefano de Stefano  .  .  .  .  .  .  .  .	4	1	0	1	3	0
Mary Miller.  .  .  .  .  .  .  .  .  .  .	11	8	0	8	3	0
Total .  .  .  .  .  .  .  .  .  .	207	141	3	144	63	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	22	14	0	14	8	0
				0		
				0		
"US Representative, District 19"				0		
Vote for  1				0		
Jodey Arrington  .  .  .  .  .  .  .  .  .	166	113	3	116	50	0
Total .  .  .  .  .  .  .  .  .  .	166	113	3	116	50	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	63	42	0	42	21	0
				0		
				0		
Governor				0		
Vote for  1				0		
Greg Abbott.  .  .  .  .  .  .  .  .  .  .	175	121	1	122	53	0
SECEDE Kilgore.  .  .  .  .  .  .  .  .  .	13	7	2	9	4	0
Barbara Krueger  .  .  .  .  .  .  .  .  .	16	12	0	12	4	0
Total .  .  .  .  .  .  .  .  .  .	204	140	3	143	61	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	25	15	0	15	10	0
				0		
				0		
Lieutenant Governor				0		
Vote for  1				0		
Scott Milder  .  .  .  .  .  .  .  .  .  .	92	62	2	64	28	0
Dan Patrick.  .  .  .  .  .  .  .  .  .  .	92	60	1	61	31	0
Total .  .  .  .  .  .  .  .  .  .	184	122	3	125	59	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	45	33	0	33	12	0
				0		
				0		
Attorney General				0		
Vote for  1				0		
Ken Paxton .  .  .  .  .  .  .  .  .  .  .	150	101	3	104	46	0
Total .  .  .  .  .  .  .  .  .  .	150	101	3	104	46	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	79	54	0	54	25	0
				0		
				0		
Comptroller of Public Accounts				0		
Vote for  1				0		
Glenn Hegar.  .  .  .  .  .  .  .  .  .  .	148	101	3	104	44	0
Total .  .  .  .  .  .  .  .  .  .	148	101	3	104	44	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	81	54	0	54	27	0
0003 PRECINCT 303				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
Commissioner of the General Land Office				0		
Vote for  1				0		
Davey Edwards .  .  .  .  .  .  .  .  .  .	22	13	0	13	9	0
Jerry Patterson  .  .  .  .  .  .  .  .  .	35	29	0	29	6	0
Rick Range .  .  .  .  .  .  .  .  .  .  .	9	6	0	6	3	0
George P. Bush.  .  .  .  .  .  .  .  .  .	111	73	3	76	35	0
Total .  .  .  .  .  .  .  .  .  .	177	121	3	124	53	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	52	34	0	34	18	0
				0		
				0		
Commissioner of Agriculture				0		
Vote for  1				0		
Sid Miller .  .  .  .  .  .  .  .  .  .  .	95	67	1	68	27	0
Jim Hogan  .  .  .  .  .  .  .  .  .  .  .	36	20	2	22	14	0
Trey Blocker  .  .  .  .  .  .  .  .  .  .	30	26	0	26	4	0
Total .  .  .  .  .  .  .  .  .  .	161	113	3	116	45	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	68	42	0	42	26	0
				0		
				0		
Railroad Commissioner				0		
Vote for  1				0		
Weston Martinez  .  .  .  .  .  .  .  .  .	63	38	1	39	24	0
Christi Craddick .  .  .  .  .  .  .  .  .	96	72	2	74	22	0
Total .  .  .  .  .  .  .  .  .  .	159	110	3	113	46	0
Over Votes .  .  .  .  .  .  .  .  .  .	1	1	0	1	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	69	44	0	44	25	0
				0		
				0		
"Justice, Supreme Court, Place 2"				0		
Vote for  1				0		
Jimmy Blacklock  .  .  .  .  .  .  .  .  .	132	88	3	91	41	0
Total .  .  .  .  .  .  .  .  .  .	132	88	3	91	41	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	97	67	0	67	30	0
				0		
				0		
"Justice, Supreme Court, Place 4"				0		
Vote for  1				0		
John Devine.  .  .  .  .  .  .  .  .  .  .	135	91	3	94	41	0
Total .  .  .  .  .  .  .  .  .  .	135	91	3	94	41	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	94	64	0	64	30	0
				0		
				0		
"Justice, Supreme Court, Place 6"				0		
Vote for  1				0		
Jeff Brown .  .  .  .  .  .  .  .  .  .  .	133	91	3	94	39	0
Total .  .  .  .  .  .  .  .  .  .	133	91	3	94	39	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	96	64	0	64	32	0
0003 PRECINCT 303				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
"Presiding Judge, Ct of Criminal Appeals"				0		
Vote for  1				0		
David Bridges .  .  .  .  .  .  .  .  .  .	87	58	1	59	28	0
Sharon Keller .  .  .  .  .  .  .  .  .  .	63	48	1	49	14	0
Total .  .  .  .  .  .  .  .  .  .	150	106	2	108	42	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	79	49	1	50	29	0
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 7"				0		
Vote for  1				0		
Barbara Parker Hervey  .  .  .  .  .  .  .	132	90	3	93	39	0
Total .  .  .  .  .  .  .  .  .  .	132	90	3	93	39	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	97	65	0	65	32	0
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 8"				0		
Vote for  1				0		
Michelle Slaughter  .  .  .  .  .  .  .  .	62	41	2	43	19	0
Jay Brandon.  .  .  .  .  .  .  .  .  .  .	53	36	0	36	17	0
Dib Waldrip.  .  .  .  .  .  .  .  .  .  .	32	26	1	27	5	0
Total .  .  .  .  .  .  .  .  .  .	147	103	3	106	41	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	82	52	0	52	30	0
				0		
				0		
"State Senator, District 31"				0		
Vote for  1				0		
Victor Leal.  .  .  .  .  .  .  .  .  .  .	32	20	2	22	10	0
Mike Canon .  .  .  .  .  .  .  .  .  .  .	54	32	0	32	22	0
Kel Seliger.  .  .  .  .  .  .  .  .  .  .	103	76	1	77	26	0
Total .  .  .  .  .  .  .  .  .  .	189	128	3	131	58	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	40	27	0	27	13	0
				0		
				0		
"State Representative, District 88"				0		
Vote for  1				0		
Jason Huddleston .  .  .  .  .  .  .  .  .	73	48	0	48	25	0
Richard Beyea .  .  .  .  .  .  .  .  .  .	23	14	1	15	8	0
Ken King.  .  .  .  .  .  .  .  .  .  .  .	95	66	2	68	27	0
Total .  .  .  .  .  .  .  .  .  .	191	128	3	131	60	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	38	27	0	27	11	0
				0		
				0		
				0		
				0		
				0		
				0		
				0		
				0		
0003 PRECINCT 303				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
United States Senator				0		
Vote for  1				0		
Sema Hernandez.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Beto O'Rourke .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Edward Kimbrough .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"US Representative, District 19"				0		
Vote for  1				0		
Miguel Levario.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Governor				0		
Vote for  1				0		
"Cedric Davis, Sr..  .  .  .  .  .  .  .  ."	0	0	0	0	0	0
Lupe Valdez.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Jeffrey Payne .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Andrew White  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Joe Mumbach.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Grady Yarbrough  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Tom Wakely .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Adrian Ocegueda  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
James Jolly Clark.  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Lieutenant Governor				0		
Vote for  1				0		
Mike Collier  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Michael Cooper.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Attorney General				0		
Vote for  1				0		
Justin Nelson .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Comptroller of Public Accounts				0		
Vote for  1				0		
Joi Chevalier .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Tim Mahoney.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
0003 PRECINCT 303				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
Commissioner of the General Land Office				0		
Vote for  1				0		
Miguel Suazo  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Tex Morgan .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Commissioner of Agriculture				0		
Vote for  1				0		
Kim Olson  .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Railroad Commissioner				0		
Vote for  1				0		
Roman McAllen .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Chris Spellmon.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 2"				0		
Vote for  1				0		
Steven Kirkland  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 4"				0		
Vote for  1				0		
R.K. Sandill  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 6"				0		
Vote for  1				0		
Kathy Cheng.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Presiding Judge, Ct of Criminal Appeals"				0		
Vote for  1				0		
Maria T. (Terri) Jackson  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 7"				0		
Vote for  1				0		
Ramona Franklin  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
0003 PRECINCT 303				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
"State Representative, District 88"				0		
Vote for  1				0		
Ezekiel Barron.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
				0		
				0		
				0		
0004 PRECINCT 404				0		
				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
REGISTERED VOTERS - TOTAL .  .  .  .  .  .	565			0		
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .	284	183	5	188	96	0
BALLOTS CAST - REPUBLICAN PARTY .  .  .  .	284	183	5	188	96	0
BALLOTS CAST - DEMOCRATIC PARTY .  .  .  .	0	0	0	0	0	0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .				0		
0004 PRECINCT 404				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
United States Senator				0		
Vote for  1				0		
Ted Cruz.  .  .  .  .  .  .  .  .  .  .  .	224	142	3	145	79	0
Geraldine Sam .  .  .  .  .  .  .  .  .  .	7	3	1	4	3	0
"Bruce Jacobson, Jr. .  .  .  .  .  .  .  ."	14	12	0	12	2	0
Stefano de Stefano  .  .  .  .  .  .  .  .	7	5	0	5	2	0
Mary Miller.  .  .  .  .  .  .  .  .  .  .	7	4	0	4	3	0
Total .  .  .  .  .  .  .  .  .  .	259	166	4	170	89	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	25	17	1	18	7	0
				0		
				0		
"US Representative, District 19"				0		
Vote for  1				0		
Jodey Arrington  .  .  .  .  .  .  .  .  .	212	138	2	140	72	0
Total .  .  .  .  .  .  .  .  .  .	212	138	2	140	72	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	72	45	3	48	24	0
				0		
				0		
Governor				0		
Vote for  1				0		
Greg Abbott.  .  .  .  .  .  .  .  .  .  .	223	142	3	145	78	0
SECEDE Kilgore.  .  .  .  .  .  .  .  .  .	10	5	1	6	4	0
Barbara Krueger  .  .  .  .  .  .  .  .  .	20	13	0	13	7	0
Total .  .  .  .  .  .  .  .  .  .	253	160	4	164	89	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	31	23	1	24	7	0
				0		
				0		
Lieutenant Governor				0		
Vote for  1				0		
Scott Milder  .  .  .  .  .  .  .  .  .  .	113	74	4	78	35	0
Dan Patrick.  .  .  .  .  .  .  .  .  .  .	130	75	1	76	54	0
Total .  .  .  .  .  .  .  .  .  .	243	149	5	154	89	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	41	34	0	34	7	0
				0		
				0		
Attorney General				0		
Vote for  1				0		
Ken Paxton .  .  .  .  .  .  .  .  .  .  .	187	119	2	121	66	0
Total .  .  .  .  .  .  .  .  .  .	187	119	2	121	66	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	97	64	3	67	30	0
				0		
				0		
Comptroller of Public Accounts				0		
Vote for  1				0		
Glenn Hegar.  .  .  .  .  .  .  .  .  .  .	184	119	3	122	62	0
Total .  .  .  .  .  .  .  .  .  .	184	119	3	122	62	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	100	64	2	66	34	0
				0		
				0		
0004 PRECINCT 404				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
Commissioner of the General Land Office				0		
Vote for  1				0		
Davey Edwards .  .  .  .  .  .  .  .  .  .	17	8	0	8	9	0
Jerry Patterson  .  .  .  .  .  .  .  .  .	49	30	1	31	18	0
Rick Range .  .  .  .  .  .  .  .  .  .  .	12	9	0	9	3	0
George P. Bush.  .  .  .  .  .  .  .  .  .	154	96	4	100	54	0
Total .  .  .  .  .  .  .  .  .  .	232	143	5	148	84	0
Over Votes .  .  .  .  .  .  .  .  .  .	1	1	0	1	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	51	39	0	39	12	0
				0		
				0		
Commissioner of Agriculture				0		
Vote for  1				0		
Sid Miller .  .  .  .  .  .  .  .  .  .  .	137	87	3	90	47	0
Jim Hogan  .  .  .  .  .  .  .  .  .  .  .	44	26	0	26	18	0
Trey Blocker  .  .  .  .  .  .  .  .  .  .	38	25	1	26	12	0
Total .  .  .  .  .  .  .  .  .  .	219	138	4	142	77	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	65	45	1	46	19	0
				0		
				0		
Railroad Commissioner				0		
Vote for  1				0		
Weston Martinez  .  .  .  .  .  .  .  .  .	70	40	2	42	28	0
Christi Craddick .  .  .  .  .  .  .  .  .	137	89	2	91	46	0
Total .  .  .  .  .  .  .  .  .  .	207	129	4	133	74	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	77	54	1	55	22	0
				0		
				0		
"Justice, Supreme Court, Place 2"				0		
Vote for  1				0		
Jimmy Blacklock  .  .  .  .  .  .  .  .  .	178	115	3	118	60	0
Total .  .  .  .  .  .  .  .  .  .	178	115	3	118	60	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	106	68	2	70	36	0
				0		
				0		
"Justice, Supreme Court, Place 4"				0		
Vote for  1				0		
John Devine.  .  .  .  .  .  .  .  .  .  .	180	113	3	116	64	0
Total .  .  .  .  .  .  .  .  .  .	180	113	3	116	64	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	104	70	2	72	32	0
				0		
				0		
"Justice, Supreme Court, Place 6"				0		
Vote for  1				0		
Jeff Brown .  .  .  .  .  .  .  .  .  .  .	173	111	3	114	59	0
Total .  .  .  .  .  .  .  .  .  .	173	111	3	114	59	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	111	72	2	74	37	0
				0		
0004 PRECINCT 404				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
"Presiding Judge, Ct of Criminal Appeals"				0		
Vote for  1				0		
David Bridges .  .  .  .  .  .  .  .  .  .	110	64	2	66	44	0
Sharon Keller .  .  .  .  .  .  .  .  .  .	67	46	0	46	21	0
Total .  .  .  .  .  .  .  .  .  .	177	110	2	112	65	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	107	73	3	76	31	0
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 7"				0		
Vote for  1				0		
Barbara Parker Hervey  .  .  .  .  .  .  .	175	108	3	111	64	0
Total .  .  .  .  .  .  .  .  .  .	175	108	3	111	64	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	109	75	2	77	32	0
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 8"				0		
Vote for  1				0		
Michelle Slaughter  .  .  .  .  .  .  .  .	76	48	1	49	27	0
Jay Brandon.  .  .  .  .  .  .  .  .  .  .	65	40	1	41	24	0
Dib Waldrip.  .  .  .  .  .  .  .  .  .  .	35	21	0	21	14	0
Total .  .  .  .  .  .  .  .  .  .	176	109	2	111	65	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	108	74	3	77	31	0
				0		
				0		
"State Senator, District 31"				0		
Vote for  1				0		
Victor Leal.  .  .  .  .  .  .  .  .  .  .	30	18	0	18	12	0
Mike Canon .  .  .  .  .  .  .  .  .  .  .	75	37	1	38	37	0
Kel Seliger.  .  .  .  .  .  .  .  .  .  .	129	93	2	95	34	0
Total .  .  .  .  .  .  .  .  .  .	234	148	3	151	83	0
Over Votes .  .  .  .  .  .  .  .  .  .	1	1	0	1	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	49	34	2	36	13	0
				0		
				0		
"State Representative, District 88"				0		
Vote for  1				0		
Jason Huddleston .  .  .  .  .  .  .  .  .	108	73	1	74	34	0
Richard Beyea .  .  .  .  .  .  .  .  .  .	26	16	1	17	9	0
Ken King.  .  .  .  .  .  .  .  .  .  .  .	103	64	2	66	37	0
Total .  .  .  .  .  .  .  .  .  .	237	153	4	157	80	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	47	30	1	31	16	0
				0		
				0		
				0		
				0		
				0		
				0		
				0		
				0		
0004 PRECINCT 404				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
United States Senator				0		
Vote for  1				0		
Sema Hernandez.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Beto O'Rourke .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Edward Kimbrough .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"US Representative, District 19"				0		
Vote for  1				0		
Miguel Levario.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Governor				0		
Vote for  1				0		
"Cedric Davis, Sr..  .  .  .  .  .  .  .  ."	0	0	0	0	0	0
Lupe Valdez.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Jeffrey Payne .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Andrew White  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Joe Mumbach.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Grady Yarbrough  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Tom Wakely .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Adrian Ocegueda  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
James Jolly Clark.  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Lieutenant Governor				0		
Vote for  1				0		
Mike Collier  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Michael Cooper.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Attorney General				0		
Vote for  1				0		
Justin Nelson .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Comptroller of Public Accounts				0		
Vote for  1				0		
Joi Chevalier .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Tim Mahoney.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
0004 PRECINCT 404				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
Commissioner of the General Land Office				0		
Vote for  1				0		
Miguel Suazo  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
