Political Subdivision,Election Date,Election Name,Total Provisional Ballots,Total Provisional Ballots Counted,Precinct Number,Race Name,Candidate Name,Party Code,Early Votes,Election Votes
,,,,,,Proposition 1 Rep,Undervotes,,,16
,,,,,,Proposition 1 Rep,,,,
,,,,,,Proposition 1 Rep,,,,
,,,,,,Proposition 2 Rep,Yes,,,212
,,,,,,Proposition 2 Rep,No,,,11
,,,,,,Proposition 2 Rep,,,,
,,,,,,Proposition 2 Rep,Total ,,,223
,,,,,,Proposition 2 Rep,Overvotes,,,0
,,,,,,Proposition 2 Rep,Undervotes,,,10
,,,,,,Proposition 2 Rep,,,,
,,,,,,Proposition 2 Rep,,,,
,,,,,,Proposition 3 Rep,Yes,,,197
,,,,,,Proposition 3 Rep,No,,,24
,,,,,,Proposition 3 Rep,,,,
,,,,,,Proposition 3 Rep,Total ,,,221
,,,,,,Proposition 3 Rep,Overvotes,,,0
,,,,,,Proposition 3 Rep,Undervotes,,,12
,,,,,,Proposition 3 Rep,,,,
,,,,,,Proposition 3 Rep,,,,
,,,,,,Proposition 4 Rep,Yes,,,201
,,,,,,Proposition 4 Rep,No,,,24
,,,,,,Proposition 4 Rep,,,,
,,,,,,Proposition 4 Rep,Total,,,225
,,,,,,Proposition 4 Rep,Overvotes ,,,0
,,,,,,Proposition 4 Rep,Undervotes,,,8
,,,,,,Proposition 4 Rep,,,,
,,,,,,Proposition 4 Rep,,,,
,,,,,,Proposition 5 Rep,Yes,,,174
,,,,,,Proposition 5 Rep,No,,,53
,,,,,,Proposition 5 Rep,,,,
,,,,,,Proposition 5 Rep,Total,,,227
,,,,,,Proposition 5 Rep,Overvotes,,,0
,,,,,,Proposition 5 Rep,Undervotes,,,6
,,,,,,Proposition 5 Rep,,,,
,,,,,,Proposition 5 Rep,,,,
,,,,,,Proposition 6 Rep,Yes,,,219
,,,,,,Proposition 6 Rep,No,,,9
,,,,,,Proposition 6 Rep,,,,
,,,,,,Proposition 6 Rep,Total,,,228
,,,,,,Proposition 6 Rep,Overvotes,,,0
,,,,,,Proposition 6 Rep,Undervotes,,,5
,,,,,,Proposition 6 Rep,,,,
,,,,,,Proposition 6 Rep,,,,
,,,,,,Proposition 7 Rep,Yes,,,157
,,,,,,Proposition 7 Rep,No,,,65
,,,,,,Proposition 7 Rep,,,,
,,,,,,Proposition 7 Rep,Total,,,222
,,,,,,Proposition 7 Rep,Overvotes,,,1
,,,,,,Proposition 7 Rep,Undervotes,,,10
,,,,,,Proposition 7 Rep,,,,
,,,,,,Proposition 7 Rep,,,,
,,,,,,Proposition 8 Rep,Yes,,,222
,,,,,,Proposition 8 Rep,No,,,6
,,,,,,Proposition 8 Rep,,,,
,,,,,,Proposition 8 Rep,Total,,,228
,,,,,,Proposition 8 Rep,Overvotes,,,0
,,,,,,Proposition 8 Rep,Undervotes,,,5
,,,,,,Proposition 8 Rep,,,,
,,,,,,Proposition 8 Rep,,,,
,,,,,,Proposition 9 Rep,Yes,,,206
,,,,,,Proposition 9 Rep,No,,,17
,,,,,,Proposition 9 Rep,,,,
,,,,,,Proposition 9 Rep,Total,,,223
,,,,,,Proposition 9 Rep,Overvotes,,,0
,,,,,,Proposition 9 Rep,Undervotes,,,10
,,,,,,Proposition 9 Rep,,,,
,,,,,,Proposition 9 Rep,,,,
,,,,,,Proposition 10 Rep,Yes,,,210
,,,,,,Proposition 10 Rep,No,,,11
,,,,,,Proposition 10 Rep,,,,
,,,,,,Proposition 10 Rep,Total,,,221
,,,,,,Proposition 10 Rep,Overvotes,,,0
,,,,,,Proposition 10 Rep,Undervotes,,,12
,,,,,,Proposition 10 Rep,,,,
,,,,,,Proposition 11 Rep,Yes,,,208
,,,,,,Proposition 11 Rep,No,,,20
,,,,,,Proposition 11 Rep,,,,
,,,,,,Proposition 11 Rep,Total,,,228
,,,,,,Proposition 11 Rep,Overvotes,,,0
,,,,,,Proposition 11 Rep,Undervotes,,,5
,,,,,,Proposition 11 Rep,,,,
,,,,,,Proposition 11 Rep,,,,
,,,,,3,United State Senator,Bruce Jacobson Jr.,,,13
,,,,,,United State Senator,Red Cruz,,,192
,,,,,,United State Senator,Mary Miller,,,10
,,,,,,United State Senator,Stefano De Stefano,,,0
,,,,,,United State Senator,Geraldine Sam,,,0
,,,,,,United State Senator,,,,
,,,,,,United State Senator,Total,,,215
,,,,,,United State Senator,Overvotes,,,0
,,,,,,United State Senator,Undervotes,,,13
,,,,,,United State Senator,,,,
,,,,,,United State Senator,,,,
,,,,,,"US Representative, District 27",Eddie Gassman,,,10
,,,,,,"US Representative, District 27",Jerry Hall,,,12
,,,,,,"US Representative, District 27",Bech Bruun,,,40
,,,,,,"US Representative, District 27",Christopher K. Mapp,,,42
,,,,,,"US Representative, District 27",John Grunwald,,,5
,,,,,,"US Representative, District 27",Michael Cloud,,,88
,,,,,,"US Representative, District 27",,,,
,,,,,,"US Representative, District 27",Total,,,197
,,,,,,"US Representative, District 27",Overvotes,,,0
,,,,,,"US Representative, District 27",Undervotes,,,31
,,,,,,"US Representative, District 27",,,,
,,,,,,"US Representative, District 27",,,,
,,,,,,Governor,Greg Abbott,,,213
,,,,,,Governor,Barbara Krueger,,,9
,,,,,,Governor,SECEDE Kilgore,,,1
,,,,,,Governor,,,,
,,,,,,Governor,Total,,,223
,,,,,,Governor,Overvotes,,,0
,,,,,,Governor,Undervotes,,,5
,,,,,,Governor,,,,
,,,,,,Governor,,,,
,,,,,,Lieutenant Governor,Scott Milder,,,39
,,,,,,Lieutenant Governor,Dan Patrick,,,175
,,,,,,Lieutenant Governor,,,,
,,,,,,Lieutenant Governor,Total,,,214
,,,,,,Lieutenant Governor,Overvotes,,,0
,,,,,,Lieutenant Governor,Undervotes,,,14
,,,,,,Lieutenant Governor,,,,
,,,,,,Lieutenant Governor,,,,
,,,,,,Attorney General,Ken Paxton,,,180
,,,,,,Attorney General,,,,
,,,,,,Attorney General,Total,,,180
,,,,,,Attorney General,Overvotes,,,0
,,,,,,Attorney General,Undervotes,,,48
,,,,,,Attorney General,,,,
,,,,,,Attorney General,,,,
,,,,,,Comptroller of Public Accounts,Glenn Hegar,,,186
,,,,,,Comptroller of Public Accounts,,,,
,,,,,,Comptroller of Public Accounts,Total,,,186
,,,,,,Comptroller of Public Accounts,Overvotes,,,0
,,,,,,Comptroller of Public Accounts,Undervotes,,,42
,,,,,,Comptroller of Public Accounts,,,,
,,,,,,Comptroller of Public Accounts,,,,
,,,,,,Commissioner of the General Land Office,George P. Bush,,,130
,,,,,,Commissioner of the General Land Office,Jerry Patterson,,,58
,,,,,,Commissioner of the General Land Office,Rick Range,,,11
,,,,,,Commissioner of the General Land Office,Davey Edwards,,,9
,,,,,,Commissioner of the General Land Office,,,,
,,,,,,Commissioner of the General Land Office,Total,,,208
,,,,,,Commissioner of the General Land Office,Overvotes,,,0
,,,,,,Commissioner of the General Land Office,Undervotes,,,20
,,,,,,Commissioner of the General Land Office,,,,
,,,,,,Commissioner of the General Land Office,,,,
,,,,,,Commissioner of Agriculture,Trey Blocker,,,52
,,,,,,Commissioner of Agriculture,Jim Hogan,,,46
,,,,,,Commissioner of Agriculture,Sid Miller,,,92
,,,,,,Commissioner of Agriculture,,,,
,,,,,,Commissioner of Agriculture,Total ,,,190
,,,,,,Commissioner of Agriculture,Overvotes,,,0
,,,,,,Commissioner of Agriculture,Undervotes,,,38
,,,,,,Commissioner of Agriculture,,,,
,,,,,,Commissioner of Agriculture,,,,
,,,,,,Railroad Commissioner,Weston Martinez,,,38
,,,,,,Railroad Commissioner,Christi Craddick,,,152
,,,,,,Railroad Commissioner,,,,
,,,,,,Railroad Commissioner,Total,,,190
,,,,,,Railroad Commissioner,Overvotes,,,0
,,,,,,Railroad Commissioner,Undervotes,,,38
,,,,,,Railroad Commissioner,,,,
,,,,,,Railroad Commissioner,,,,
,,,,,,"Justice, Supreme Court, Place 2",Jimmy Blacklock,,,166
,,,,,,"Justice, Supreme Court, Place 2",,,,
,,,,,,"Justice, Supreme Court, Place 2",Total,,,166
,,,,,,"Justice, Supreme Court, Place 2",Overvotes,,,0
,,,,,,"Justice, Supreme Court, Place 2",Undervotes,,,62
,,,,,,"Justice, Supreme Court, Place 2",,,,
,,,,,,"Justice, Supreme Court, Place 2",,,,
,,,,,,"Justice, Supreme Court, Place 4",John Devine,,,172
,,,,,,"Justice, Supreme Court, Place 4",,,,
,,,,,,"Justice, Supreme Court, Place 4",Total,,,172
,,,,,,"Justice, Supreme Court, Place 4",Overvotes,,,0
,,,,,,"Justice, Supreme Court, Place 4",Undervotes,,,56
,,,,,,"Justice, Supreme Court, Place 4",,,,
,,,,,,"Justice, Supreme Court, Place 4",,,,
,,,,,,"Justice, Supreme Court, Place 6",Jeff Brown,,,173
,,,,,,"Justice, Supreme Court, Place 6",,,,
,,,,,,"Justice, Supreme Court, Place 6",Total,,,173
,,,,,,"Justice, Supreme Court, Place 6",Overvotes,,,0
,,,,,,"Justice, Supreme Court, Place 6",Undervotes,,,55
,,,,,,"Justice, Supreme Court, Place 6",,,,
,,,,,,"Justice, Supreme Court, Place 6",,,,
,,,,,,"Presiding Judge, Ct of Criminal Appeals",David Bridges,,,117
,,,,,,"Presiding Judge, Ct of Criminal Appeals",Sharon Keller,,,62
,,,,,,"Presiding Judge, Ct of Criminal Appeals",,,,
,,,,,,"Presiding Judge, Ct of Criminal Appeals",Total,,,179
,,,,,,"Presiding Judge, Ct of Criminal Appeals",Overvotes,,,0
,,,,,,"Presiding Judge, Ct of Criminal Appeals",Undervotes,,,49
,,,,,,"Presiding Judge, Ct of Criminal Appeals",,,,
,,,,,,"Presiding Judge, Ct of Criminal Appeals",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",Barbara Parker Hervey,,,165
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",Total,,,165
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",Overvotes,,,0
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",Undervotes,,,63
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Jay Brandon,,,64
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Dib Waldrip,,,35
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Michelle Slaughter,,,76
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Total,,,175
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Overvotes,,,0
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Undervotes,,,53
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",,,,
,,,,,,"State Representative, District 17",John P. Cyrier,,,180
,,,,,,"State Representative, District 17",,,,
,,,,,,"State Representative, District 17",Total,,,180
,,,,,,"State Representative, District 17",Overvotes,,,0
,,,,,,"State Representative, District 17",Undervotes,,,48
,,,,,,"State Representative, District 17",,,,
,,,,,,"State Representative, District 17",,,,
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",Ernie Aliseda,,,167
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",,,,
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",Total,,,167
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",Overvotes,,,0
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",Undervotes,,,61
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",,,,
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",Greg Perkes,,,166
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",Total,,,166
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",Overvotes,,,0
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",Undervotes,,,62
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",Jaime Tijerina,,,165
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",Total,,,165
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",Overvotes,,,0
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",Undervotes,,,63
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",Clarissa Silva,,,166
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",Total,,,166
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",Overvotes,,,0
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",Undervotes,,,62
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 5",,,,
,,,,,,County Judge,Patrick (Pat) Davis,,,210
,,,,,,County Judge,,,,
,,,,,,County Judge,Total,,,210
,,,,,,County Judge,Overvotes,,,0
,,,,,,County Judge,Undervotes,,,18
,,,,,,County Judge,,,,
,,,,,,County Judge,,,,
,,,,,,Districk Clerk,Janice Sutton,,,197
,,,,,,Districk Clerk,,,,
,,,,,,Districk Clerk,Total,,,197
,,,,,,Districk Clerk,Overvotes,,,0
,,,,,,Districk Clerk,Undervotes,,,31
,,,,,,Districk Clerk,,,,
,,,,,,Districk Clerk,,,,
,,,,,,County Clerk,Lona Ackman,,,196
,,,,,,County Clerk,,,,
,,,,,,County Clerk,Total,,,196
,,,,,,County Clerk,Overvotes,,,0
,,,,,,County Clerk,Undervotes,,,32
,,,,,,County Clerk,,,,
,,,,,,County Clerk,,,,
,,,,,,County Treasurer,Sheryl Barborak,,,131
,,,,,,County Treasurer,Jo Ann Mercer,,,92
,,,,,,County Treasurer,,,,
,,,,,,County Treasurer,Total,,,223
,,,,,,County Treasurer,Overvotes,,,0
,,,,,,County Treasurer,Undervotes,,,5
,,,,,,County Treasurer,,,,
,,,,,,County Treasurer,,,,
,,,,,,County Surveyor,Seth M. Fullilove,,,197
,,,,,,County Surveyor,,,,
,,,,,,County Surveyor,Total,,,197
,,,,,,County Surveyor,Overvotes,,,0
,,,,,,County Surveyor,Undervotes,,,31
,,,,,,County Surveyor,,,,
,,,,,,County Surveyor,,,,
,,,,,,"Justice of the Peace, Precinct No. 1",Deidra D. Voigt,,,195
,,,,,,"Justice of the Peace, Precinct No. 1",,,,
,,,,,,"Justice of the Peace, Precinct No. 1",Total,,,195
,,,,,,"Justice of the Peace, Precinct No. 1",Overvotes,,,0
,,,,,,"Justice of the Peace, Precinct No. 1",Undervotes,,,33
,,,,,,"Justice of the Peace, Precinct No. 1",,,,
,,,,,,"Justice of the Peace, Precinct No. 1",,,,
,,,,,,County Chairman,Richard A. Green Sr.,,,172
,,,,,,County Chairman,,,,
,,,,,,County Chairman,Total,,,172
,,,,,,County Chairman,Overvotes,,,0
,,,,,,County Chairman,Undervotes,,,56
,,,,,,County Chairman,,,,
,,,,,,County Chairman,,,,
,,,,,,Proposition 1 Rep,Yes,,,168
,,,,,,Proposition 1 Rep,No,,,42
,,,,,,Proposition 1 Rep,,,,
,,,,,,Proposition 1 Rep,Total ,,,210
,,,,,,Proposition 1 Rep,Overvotes,,,0
,,,,,,Proposition 1 Rep,Undervotes,,,18
,,,,,,Proposition 1 Rep,,,,
,,,,,,Proposition 1 Rep,,,,
,,,,,,Proposition 2 Rep,Yes,,,203
,,,,,,Proposition 2 Rep,No,,,16
,,,,,,Proposition 2 Rep,,,,
,,,,,,Proposition 2 Rep,Total ,,,219
,,,,,,Proposition 2 Rep,Overvotes,,,0
,,,,,,Proposition 2 Rep,Undervotes,,,9
,,,,,,Proposition 2 Rep,,,,
,,,,,,Proposition 2 Rep,,,,
,,,,,,Proposition 3 Rep,Yes,,,192
,,,,,,Proposition 3 Rep,No,,,19
,,,,,,Proposition 3 Rep,,,,
,,,,,,Proposition 3 Rep,Total ,,,211
,,,,,,Proposition 3 Rep,Overvotes,,,0
,,,,,,Proposition 3 Rep,Undervotes,,,7
,,,,,,Proposition 3 Rep,,,,
,,,,,,Proposition 3 Rep,,,,
,,,,,,Proposition 4 Rep,Yes,,,190
,,,,,,Proposition 4 Rep,No,,,21
,,,,,,Proposition 4 Rep,,,,
,,,,,,Proposition 4 Rep,Total,,,211
,,,,,,Proposition 4 Rep,Overvotes ,,,0
,,,,,,Proposition 4 Rep,Undervotes,,,17
,,,,,,Proposition 4 Rep,,,,
,,,,,,Proposition 4 Rep,,,,
,,,,,,Proposition 5 Rep,Yes,,,163
,,,,,,Proposition 5 Rep,No,,,50
,,,,,,Proposition 5 Rep,,,,
,,,,,,Proposition 5 Rep,Total,,,213
,,,,,,Proposition 5 Rep,Overvotes,,,0
,,,,,,Proposition 5 Rep,Undervotes,,,15
,,,,,,Proposition 5 Rep,,,,
,,,,,,Proposition 5 Rep,,,,
,,,,,,Proposition 6 Rep,Yes,,,202
,,,,,,Proposition 6 Rep,No,,,13
,,,,,,Proposition 6 Rep,,,,
,,,,,,Proposition 6 Rep,Total,,,215
,,,,,,Proposition 6 Rep,Overvotes,,,0
,,,,,,Proposition 6 Rep,Undervotes,,,13
,,,,,,Proposition 6 Rep,,,,
,,,,,,Proposition 6 Rep,,,,
,,,,,,Proposition 7 Rep,Yes,,,136
,,,,,,Proposition 7 Rep,No,,,68
,,,,,,Proposition 7 Rep,,,,
,,,,,,Proposition 7 Rep,Total,,,204
,,,,,,Proposition 7 Rep,Overvotes,,,0
,,,,,,Proposition 7 Rep,Undervotes,,,24
,,,,,,Proposition 7 Rep,,,,
,,,,,,Proposition 7 Rep,,,,
,,,,,,Proposition 8 Rep,Yes,,,215
,,,,,,Proposition 8 Rep,No,,,3
,,,,,,Proposition 8 Rep,,,,
,,,,,,Proposition 8 Rep,Total,,,218
,,,,,,Proposition 8 Rep,Overvotes,,,0
,,,,,,Proposition 8 Rep,Undervotes,,,10
,,,,,,Proposition 8 Rep,,,,
,,,,,,Proposition 8 Rep,,,,
,,,,,,Proposition 9 Rep,Yes,,,192
,,,,,,Proposition 9 Rep,No,,,20
,,,,,,Proposition 9 Rep,,,,
,,,,,,Proposition 9 Rep,Total,,,212
,,,,,,Proposition 9 Rep,Overvotes,,,0
,,,,,,Proposition 9 Rep,Undervotes,,,16
,,,,,,Proposition 9 Rep,,,,
,,,,,,Proposition 9 Rep,,,,
,,,,,,Proposition 10 Rep,Yes,,,203
,,,,,,Proposition 10 Rep,No,,,10
,,,,,,Proposition 10 Rep,,,,
,,,,,,Proposition 10 Rep,Total,,,213
,,,,,,Proposition 10 Rep,Overvotes,,,0
,,,,,,Proposition 10 Rep,Undervotes,,,15
,,,,,,Proposition 10 Rep,,,,
,,,,,,Proposition 11 Rep,Yes,,,197
,,,,,,Proposition 11 Rep,No,,,19
,,,,,,Proposition 11 Rep,,,,
,,,,,,Proposition 11 Rep,Total,,,216
,,,,,,Proposition 11 Rep,Overvotes,,,0
,,,,,,Proposition 11 Rep,Undervotes,,,12
,,,,,,Proposition 11 Rep,,,,
,,,,,,Proposition 11 Rep,,,,
,,,,,4&6 ,United State Senator,Bruce Jacobson Jr.,,,6
,,,,,,United State Senator,Red Cruz,,,101
,,,,,,United State Senator,Mary Miller,,,3
,,,,,,United State Senator,Stefano De Stefano,,,0
,,,,,,United State Senator,Geraldine Sam,,,1
,,,,,,United State Senator,,,,
,,,,,,United State Senator,Total,,,111
,,,,,,United State Senator,Overvotes,,,0
,,,,,,United State Senator,Undervotes,,,5
,,,,,,United State Senator,,,,
,,,,,,United State Senator,,,,
,,,,,,"US Representative, District 34",Rey Gonzalez,,,78
,,,,,,"US Representative, District 34",,,,
,,,,,,"US Representative, District 34",Total,,,78
,,,,,,"US Representative, District 34",Overvotes,,,0
,,,,,,"US Representative, District 34",Undervotes,,,38
,,,,,,"US Representative, District 34",,,,
,,,,,,"US Representative, District 34",,,,
,,,,,,Governor,Greg Abbott,,,110
,,,,,,Governor,Barbara Krueger,,,3
,,,,,,Governor,SECEDE Kilgore,,,1
,,,,,,Governor,,,,
,,,,,,Governor,Total,,,114
,,,,,,Governor,Overvotes,,,0
,,,,,,Governor,Undervotes,,,2
,,,,,,Governor,,,,
,,,,,,Governor,,,,
,,,,,,Lieutenant Governor,Scott Milder,,,29
,,,,,,Lieutenant Governor,Dan Patrick,,,82
,,,,,,Lieutenant Governor,,,,
,,,,,,Lieutenant Governor,Total,,,111
,,,,,,Lieutenant Governor,Overvotes,,,1
,,,,,,Lieutenant Governor,Undervotes,,,4
,,,,,,Lieutenant Governor,,,,
,,,,,,Lieutenant Governor,,,,
,,,,,,Attorney General,Ken Paxton,,,91
,,,,,,Attorney General,,,,
,,,,,,Attorney General,Total,,,91
,,,,,,Attorney General,Overvotes,,,0
,,,,,,Attorney General,Undervotes,,,25
,,,,,,Attorney General,,,,
,,,,,,Attorney General,,,,
,,,,,,Comptroller of Public Accounts,Glenn Hegar,,,86
,,,,,,Comptroller of Public Accounts,,,,
,,,,,,Comptroller of Public Accounts,Total,,,86
,,,,,,Comptroller of Public Accounts,Overvotes,,,0
,,,,,,Comptroller of Public Accounts,Undervotes,,,30
,,,,,,Comptroller of Public Accounts,,,,
,,,,,,Comptroller of Public Accounts,,,,
,,,,,,Commissioner of the General Land Office,George P. Bush,,,57
,,,,,,Commissioner of the General Land Office,Jerry Patterson,,,43
,,,,,,Commissioner of the General Land Office,Rick Range,,,4
,,,,,,Commissioner of the General Land Office,Davey Edwards,,,8
,,,,,,Commissioner of the General Land Office,,,,
,,,,,,Commissioner of the General Land Office,Total,,,112
,,,,,,Commissioner of the General Land Office,Overvotes,,,0
,,,,,,Commissioner of the General Land Office,Undervotes,,,4
,,,,,,Commissioner of the General Land Office,,,,
,,,,,,Commissioner of the General Land Office,,,,
,,,,,,Commissioner of Agriculture,Trey Blocker,,,34
,,,,,,Commissioner of Agriculture,Jim Hogan,,,22
,,,,,,Commissioner of Agriculture,Sid Miller,,,46
,,,,,,Commissioner of Agriculture,,,,
,,,,,,Commissioner of Agriculture,Total ,,,102
,,,,,,Commissioner of Agriculture,Overvotes,,,0
,,,,,,Commissioner of Agriculture,Undervotes,,,14
,,,,,,Commissioner of Agriculture,,,,
,,,,,,Commissioner of Agriculture,,,,
,,,,,,Railroad Commissioner,Weston Martinez,,,21
,,,,,,Railroad Commissioner,Christi Craddick,,,81
,,,,,,Railroad Commissioner,,,,
,,,,,,Railroad Commissioner,Total,,,102
,,,,,,Railroad Commissioner,Overvotes,,,0
,,,,,,Railroad Commissioner,Undervotes,,,14
,,,,,,Railroad Commissioner,,,,
,,,,,,Railroad Commissioner,,,,
,,,,,,"Justice, Supreme Court, Place 2",Jimmy Blacklock,,,82
,,,,,,"Justice, Supreme Court, Place 2",,,,
,,,,,,"Justice, Supreme Court, Place 2",Total,,,82
,,,,,,"Justice, Supreme Court, Place 2",Overvotes,,,0
,,,,,,"Justice, Supreme Court, Place 2",Undervotes,,,34
,,,,,,"Justice, Supreme Court, Place 2",,,,
,,,,,,"Justice, Supreme Court, Place 2",,,,
,,,,,,"Justice, Supreme Court, Place 4",John Devine,,,83
,,,,,,"Justice, Supreme Court, Place 4",,,,
,,,,,,"Justice, Supreme Court, Place 4",Total,,,83
,,,,,,"Justice, Supreme Court, Place 4",Overvotes,,,0
,,,,,,"Justice, Supreme Court, Place 4",Undervotes,,,33
,,,,,,"Justice, Supreme Court, Place 4",,,,
,,,,,,"Justice, Supreme Court, Place 4",,,,
,,,,,,"Justice, Supreme Court, Place 6",Jeff Brown,,,80
,,,,,,"Justice, Supreme Court, Place 6",,,,
,,,,,,"Justice, Supreme Court, Place 6",Total,,,80
,,,,,,"Justice, Supreme Court, Place 6",Overvotes,,,0
,,,,,,"Justice, Supreme Court, Place 6",Undervotes,,,36
,,,,,,"Justice, Supreme Court, Place 6",,,,
,,,,,,"Justice, Supreme Court, Place 6",,,,
,,,,,,"Presiding Judge, Ct of Criminal Appeals",David Bridges,,,55
,,,,,,"Presiding Judge, Ct of Criminal Appeals",Sharon Keller,,,39
,,,,,,"Presiding Judge, Ct of Criminal Appeals",,,,
,,,,,,"Presiding Judge, Ct of Criminal Appeals",Total,,,94
,,,,,,"Presiding Judge, Ct of Criminal Appeals",Overvotes,,,0
,,,,,,"Presiding Judge, Ct of Criminal Appeals",Undervotes,,,22
,,,,,,"Presiding Judge, Ct of Criminal Appeals",,,,
,,,,,,"Presiding Judge, Ct of Criminal Appeals",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",Barbara Parker Hervey,,,79
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",Total,,,79
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",Overvotes,,,0
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",Undervotes,,,37
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 7",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Jay Brandon,,,37
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Dib Waldrip,,,21
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Michelle Slaughter,,,37
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Total,,,95
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Overvotes,,,0
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",Undervotes,,,21
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",,,,
,,,,,,"Judge, Court of Criminal Appeals, Pl 8",,,,
,,,,,,"State Representative, District 17",John P. Cyrier,,,85
,,,,,,"State Representative, District 17",,,,
,,,,,,"State Representative, District 17",Total,,,85
,,,,,,"State Representative, District 17",Overvotes,,,0
,,,,,,"State Representative, District 17",Undervotes,,,31
,,,,,,"State Representative, District 17",,,,
,,,,,,"State Representative, District 17",,,,
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",Ernie Aliseda,,,80
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",,,,
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",Total,,,80
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",Overvotes,,,0
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",Undervotes,,,36
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",,,,
,,,,,,"Chief Justice, 13th Ct of Appeals Dist",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",Greg Perkes,,,79
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",Total,,,79
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",Overvotes,,,0
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",Undervotes,,,37
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 2",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",Jaime Tijerina,,,78
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",,,,
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",Total,,,78
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",Overvotes,,,0
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",Undervotes,,,38
,,,,,,"Justice, 13th Ct of App Dist, Pl 4",,,,
