Contest,Precinct,Choice,Votes,CastTotal,UnderVotes,OverVotes,InvalidVotes,RejectedCategoryName,RejectedWriteInVotes,UnresolvedCategoryName,UnresolvedWriteInVotes,VotingTypeName,BallotsCast,TotalBallotsCast,RegisteredVotes,TurnoutPercentage
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",10,,,196,80,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,137,276,2313,11.93 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",11,Jeff Brown,57,57,27,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,84,377,22.28 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",11,,,57,27,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,49,84,377,22.28 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",11,,,57,27,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,5,84,377,22.28 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",11,,,57,27,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,30,84,377,22.28 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",12,Jeff Brown,17,17,11,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,28,335,8.36 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",12,,,17,11,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,24,28,335,8.36 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",12,,,17,11,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,0,28,335,8.36 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",12,,,17,11,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,4,28,335,8.36 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",13,Jeff Brown,64,64,17,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,81,400,20.25 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",13,,,64,17,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,44,81,400,20.25 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",13,,,64,17,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,10,81,400,20.25 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",13,,,64,17,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,27,81,400,20.25 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",14,Jeff Brown,122,122,28,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,150,1009,14.87 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",14,,,122,28,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,74,150,1009,14.87 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",14,,,122,28,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,17,150,1009,14.87 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",14,,,122,28,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,59,150,1009,14.87 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",15,Jeff Brown,159,159,39,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,198,1163,17.02 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",15,,,159,39,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,80,198,1163,17.02 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",15,,,159,39,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,20,198,1163,17.02 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",15,,,159,39,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,98,198,1163,17.02 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",16,Jeff Brown,743,743,307,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,1050,4165,25.21 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",16,,,743,307,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,309,1050,4165,25.21 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",16,,,743,307,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,113,1050,4165,25.21 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",16,,,743,307,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,628,1050,4165,25.21 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",17,Jeff Brown,173,173,43,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,216,1248,17.31 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",17,,,173,43,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,64,216,1248,17.31 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",17,,,173,43,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,18,216,1248,17.31 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",17,,,173,43,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,134,216,1248,17.31 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",18,Jeff Brown,33,33,19,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,52,732,7.10 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",18,,,33,19,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,18,52,732,7.10 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",18,,,33,19,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,1,52,732,7.10 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",18,,,33,19,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,33,52,732,7.10 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",19,Jeff Brown,185,185,44,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,229,5191,4.41 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",19,,,185,44,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,86,229,5191,4.41 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",19,,,185,44,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,88,229,5191,4.41 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",19,,,185,44,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,55,229,5191,4.41 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",20,Jeff Brown,180,180,47,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,227,5223,4.35 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",20,,,180,47,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,88,227,5223,4.35 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",20,,,180,47,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,70,227,5223,4.35 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",20,,,180,47,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,69,227,5223,4.35 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",21,Jeff Brown,172,172,83,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,255,1228,20.77 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",21,,,172,83,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,53,255,1228,20.77 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",21,,,172,83,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,25,255,1228,20.77 %
"Justice, Supreme Court, Place 6 - REPUBLICAN PARTY",21,,,172,83,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,177,255,1228,20.77 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",1,David Bridges,46,53,18,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,71,406,17.49 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",1,Sharon Keller,7,53,18,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,71,406,17.49 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",1,,,53,18,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,34,71,406,17.49 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",1,,,53,18,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,13,71,406,17.49 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",1,,,53,18,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,24,71,406,17.49 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",2,David Bridges,27,47,8,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,55,528,10.42 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",2,Sharon Keller,20,47,8,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,55,528,10.42 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",2,,,47,8,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,25,55,528,10.42 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",2,,,47,8,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,5,55,528,10.42 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",2,,,47,8,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,25,55,528,10.42 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",3,David Bridges,137,226,101,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,327,1815,18.02 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",3,Sharon Keller,89,226,101,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,327,1815,18.02 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",3,,,226,101,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,145,327,1815,18.02 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",3,,,226,101,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,16,327,1815,18.02 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",3,,,226,101,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,166,327,1815,18.02 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",4,David Bridges,134,240,98,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,338,1515,22.31 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",4,Sharon Keller,106,240,98,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,338,1515,22.31 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",4,,,240,98,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,71,338,1515,22.31 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",4,,,240,98,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,28,338,1515,22.31 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",4,,,240,98,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,239,338,1515,22.31 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",5,David Bridges,250,428,78,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,506,2675,18.92 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",5,Sharon Keller,178,428,78,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,506,2675,18.92 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",5,,,428,78,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,218,506,2675,18.92 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",5,,,428,78,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,69,506,2675,18.92 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",5,,,428,78,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,219,506,2675,18.92 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",6,David Bridges,465,789,157,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,946,4617,20.49 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",6,Sharon Keller,324,789,157,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,946,4617,20.49 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",6,,,789,157,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,295,946,4617,20.49 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",6,,,789,157,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,67,946,4617,20.49 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",6,,,789,157,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,584,946,4617,20.49 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",7,David Bridges,59,109,49,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,158,728,21.70 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",7,Sharon Keller,50,109,49,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,158,728,21.70 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",7,,,109,49,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,45,158,728,21.70 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",7,,,109,49,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,12,158,728,21.70 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",7,,,109,49,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,101,158,728,21.70 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",8,David Bridges,67,106,39,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,145,1112,13.04 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",8,Sharon Keller,39,106,39,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,145,1112,13.04 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",8,,,106,39,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,62,145,1112,13.04 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",8,,,106,39,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,11,145,1112,13.04 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",8,,,106,39,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,72,145,1112,13.04 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",9,David Bridges,70,100,38,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,138,809,17.06 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",9,Sharon Keller,30,100,38,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,138,809,17.06 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",9,,,100,38,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,49,138,809,17.06 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",9,,,100,38,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,13,138,809,17.06 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",9,,,100,38,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,76,138,809,17.06 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",10,David Bridges,149,223,53,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,276,2313,11.93 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",10,Sharon Keller,74,223,53,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,276,2313,11.93 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",10,,,223,53,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,120,276,2313,11.93 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",10,,,223,53,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,19,276,2313,11.93 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",10,,,223,53,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,137,276,2313,11.93 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",11,David Bridges,38,65,19,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,84,377,22.28 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",11,Sharon Keller,27,65,19,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,84,377,22.28 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",11,,,65,19,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,49,84,377,22.28 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",11,,,65,19,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,5,84,377,22.28 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",11,,,65,19,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,30,84,377,22.28 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",12,David Bridges,8,23,5,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,28,335,8.36 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",12,Sharon Keller,15,23,5,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,28,335,8.36 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",12,,,23,5,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,24,28,335,8.36 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",12,,,23,5,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,0,28,335,8.36 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",12,,,23,5,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,4,28,335,8.36 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",13,David Bridges,41,63,18,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,81,400,20.25 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",13,Sharon Keller,22,63,18,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,81,400,20.25 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",13,,,63,18,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,44,81,400,20.25 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",13,,,63,18,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,10,81,400,20.25 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",13,,,63,18,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,27,81,400,20.25 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",14,David Bridges,80,127,23,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,150,1009,14.87 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",14,Sharon Keller,47,127,23,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,150,1009,14.87 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",14,,,127,23,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,74,150,1009,14.87 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",14,,,127,23,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,17,150,1009,14.87 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",14,,,127,23,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,59,150,1009,14.87 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",15,David Bridges,116,161,37,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,198,1163,17.02 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",15,Sharon Keller,45,161,37,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,198,1163,17.02 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",15,,,161,37,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,80,198,1163,17.02 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",15,,,161,37,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,20,198,1163,17.02 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",15,,,161,37,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,98,198,1163,17.02 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",16,David Bridges,504,775,275,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,1050,4165,25.21 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",16,Sharon Keller,271,775,275,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,1050,4165,25.21 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",16,,,775,275,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,309,1050,4165,25.21 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",16,,,775,275,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,113,1050,4165,25.21 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",16,,,775,275,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,628,1050,4165,25.21 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",17,David Bridges,118,180,36,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,216,1248,17.31 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",17,Sharon Keller,62,180,36,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,216,1248,17.31 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",17,,,180,36,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,64,216,1248,17.31 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",17,,,180,36,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,18,216,1248,17.31 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",17,,,180,36,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,134,216,1248,17.31 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",18,David Bridges,22,41,11,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,52,732,7.10 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",18,Sharon Keller,19,41,11,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,52,732,7.10 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",18,,,41,11,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,18,52,732,7.10 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",18,,,41,11,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,1,52,732,7.10 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",18,,,41,11,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,33,52,732,7.10 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",19,David Bridges,112,186,43,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,229,5191,4.41 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",19,Sharon Keller,74,186,43,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,229,5191,4.41 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",19,,,186,43,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,86,229,5191,4.41 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",19,,,186,43,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,88,229,5191,4.41 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",19,,,186,43,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,55,229,5191,4.41 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",20,David Bridges,103,178,49,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,227,5223,4.35 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",20,Sharon Keller,75,178,49,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,227,5223,4.35 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",20,,,178,49,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Election Day Voting Ballots Cast,88,227,5223,4.35 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",20,,,178,49,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Absentee Voting Ballots Cast,70,227,5223,4.35 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",20,,,178,49,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,Early Voting Ballots Cast,69,227,5223,4.35 %
"Presiding Judge, Court of Criminal Appeals - REPUBLICAN PARTY",21,David Bridges,130,181,74,0,0,Rejected write-in votes,0,Unresolved write-in votes,0,,,255,1228,20.77 %
