Bexar County,May 24 2022 - Democrats,Joint Primary Runoff,Total Provisionals:  24,Total Provisionals Counted:  14,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,18,,45.00%,,9,,2,,,7,,
Peter Sakai,,22,,55.00%,,11,,5,,,6,,
Total Votes Cast,,40,,100.00%,,20,,7,,,13,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,0,,0,,,2,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,28,,80.00%,,14,,5,,,9,,
Maria Teresa Garcia,,7,,20.00%,,3,,2,,,2,,
Total Votes Cast,,35,,100.00%,,17,,7,,,11,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,3,,0,,,4,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,17,,50.00%,,10,,3,,,4,,
"Christine ""Chris"" Castillo",,17,,50.00%,,6,,4,,,7,,
Total Votes Cast,,34,,100.00%,,16,,7,,,11,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,4,,0,,,4,,
,,,,,,,,,,320,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2002,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,196",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,67,,24,,19,,24,,,,,
Ballots Cast - Democratic Party,,57,,17,,19,,21,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,5.60%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,26,,48.15%,,7,,5,,,14,,
Mike Collier,,28,,51.85%,,8,,13,,,7,,
Total Votes Cast,,54,,100.00%,,15,,18,,,21,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,2,,1,,,0,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,34,,62.96%,,9,,9,,,16,,
Joe Jaworski,,20,,37.04%,,6,,9,,,5,,
Total Votes Cast,,54,,100.00%,,15,,18,,,21,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,2,,1,,,0,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,39,,75.00%,,9,,16,,,14,,
Janet T. Dudding,,13,,25.00%,,4,,2,,,7,,
Total Votes Cast,,52,,100.00%,,13,,18,,,21,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,4,,1,,,0,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,38,,69.09%,,11,,13,,,14,,
Jay Kleberg,,17,,30.91%,,4,,6,,,7,,
Total Votes Cast,,55,,100.00%,,15,,19,,,21,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,2,,0,,,0,,
,,,,,,,,,,321,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2002,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,10,,17.54%,,4,,0,,,6,,
Peter Sakai,,47,,82.46%,,13,,19,,,15,,
Total Votes Cast,,57,,100.00%,,17,,19,,,21,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,36,,67.92%,,7,,15,,,14,,
Maria Teresa Garcia,,17,,32.08%,,8,,3,,,6,,
Total Votes Cast,,53,,100.00%,,15,,18,,,20,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,2,,1,,,1,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,26,,52.00%,,7,,11,,,8,,
"Christine ""Chris"" Castillo",,24,,48.00%,,7,,5,,,12,,
Total Votes Cast,,50,,100.00%,,14,,16,,,20,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,3,,3,,,1,,
,,,,,,,,,,322,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2003,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"2,124",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,106,,38,,13,,55,,,,,
Ballots Cast - Democratic Party,,92,,35,,12,,45,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,4.99%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,56,,65.12%,,21,,4,,,31,,
Mike Collier,,30,,34.88%,,10,,8,,,12,,
Total Votes Cast,,86,,100.00%,,31,,12,,,43,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,4,,0,,,2,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,69,,79.31%,,29,,7,,,33,,
Joe Jaworski,,18,,20.69%,,3,,5,,,10,,
Total Votes Cast,,87,,100.00%,,32,,12,,,43,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,3,,0,,,2,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,60,,68.97%,,21,,6,,,33,,
Janet T. Dudding,,27,,31.03%,,12,,6,,,9,,
Total Votes Cast,,87,,100.00%,,33,,12,,,42,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,2,,0,,,3,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,68,,77.27%,,26,,9,,,33,,
Jay Kleberg,,20,,22.73%,,5,,3,,,12,,
Total Votes Cast,,88,,100.00%,,31,,12,,,45,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,4,,0,,,0,,
,,,,,,,,,,323,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2003,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,24,,26.97%,,15,,1,,,8,,
Peter Sakai,,65,,73.03%,,18,,11,,,36,,
Total Votes Cast,,89,,100.00%,,33,,12,,,44,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,2,,0,,,1,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,44,,51.16%,,20,,6,,,18,,
Maria Teresa Garcia,,42,,48.84%,,12,,6,,,24,,
Total Votes Cast,,86,,100.00%,,32,,12,,,42,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,3,,0,,,3,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,50,,56.18%,,24,,4,,,22,,
"Christine ""Chris"" Castillo",,39,,43.82%,,9,,8,,,22,,
Total Votes Cast,,89,,100.00%,,33,,12,,,44,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,2,,0,,,1,,
,,,,,,,,,,324,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2004,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"2,906",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,126,,47,,24,,55,,,,,
Ballots Cast - Democratic Party,,100,,31,,23,,46,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,4.34%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,49,,53.26%,,11,,8,,,30,,
Mike Collier,,43,,46.74%,,15,,15,,,13,,
Total Votes Cast,,92,,100.00%,,26,,23,,,43,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,5,,0,,,3,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,72,,75.79%,,20,,13,,,39,,
Joe Jaworski,,23,,24.21%,,9,,9,,,5,,
Total Votes Cast,,95,,100.00%,,29,,22,,,44,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,2,,1,,,2,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,70,,76.92%,,17,,18,,,35,,
Janet T. Dudding,,21,,23.08%,,8,,5,,,8,,
Total Votes Cast,,91,,100.00%,,25,,23,,,43,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,9,,,,6,,0,,,3,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,74,,80.43%,,21,,15,,,38,,
Jay Kleberg,,18,,19.57%,,7,,8,,,3,,
Total Votes Cast,,92,,100.00%,,28,,23,,,41,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,3,,0,,,5,,
,,,,,,,,,,325,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2004,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,30,,30.61%,,12,,5,,,13,,
Peter Sakai,,68,,69.39%,,18,,18,,,32,,
Total Votes Cast,,98,,100.00%,,30,,23,,,45,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,0,,,1,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,39,,42.39%,,12,,10,,,17,,
Maria Teresa Garcia,,53,,57.61%,,15,,12,,,26,,
Total Votes Cast,,92,,100.00%,,27,,22,,,43,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,4,,1,,,3,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,42,,44.68%,,11,,9,,,22,,
"Christine ""Chris"" Castillo",,52,,55.32%,,17,,14,,,21,,
Total Votes Cast,,94,,100.00%,,28,,23,,,43,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,3,,0,,,3,,
,,,,,,,,,,326,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2005,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,908,,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,80,,40,,14,,26,,,,,
Ballots Cast - Democratic Party,,71,,35,,14,,22,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,8.81%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,34,,50.00%,,15,,6,,,13,,
Mike Collier,,34,,50.00%,,19,,7,,,8,,
Total Votes Cast,,68,,100.00%,,34,,13,,,21,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,1,,1,,,1,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,53,,80.30%,,26,,8,,,19,,
Joe Jaworski,,13,,19.70%,,7,,5,,,1,,
Total Votes Cast,,66,,100.00%,,33,,13,,,20,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,2,,1,,,2,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,28,,45.16%,,11,,7,,,10,,
Janet T. Dudding,,34,,54.84%,,18,,6,,,10,,
Total Votes Cast,,62,,100.00%,,29,,13,,,20,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,9,,,,6,,1,,,2,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,36,,53.73%,,15,,4,,,17,,
Jay Kleberg,,31,,46.27%,,18,,9,,,4,,
Total Votes Cast,,67,,100.00%,,33,,13,,,21,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,2,,1,,,1,,
,,,,,,,,,,327,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2005,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,33,,46.48%,,17,,7,,,9,,
Peter Sakai,,38,,53.52%,,18,,7,,,13,,
Total Votes Cast,,71,,100.00%,,35,,14,,,22,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,41,,64.06%,,21,,5,,,15,,
Maria Teresa Garcia,,23,,35.94%,,10,,8,,,5,,
Total Votes Cast,,64,,100.00%,,31,,13,,,20,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,4,,1,,,2,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,31,,48.44%,,13,,6,,,12,,
"Christine ""Chris"" Castillo",,33,,51.56%,,17,,7,,,9,,
Total Votes Cast,,64,,100.00%,,30,,13,,,21,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,5,,1,,,1,,
,,,,,,,,,,328,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2006,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,21,,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,3,,1,,1,,1,,,,,
Ballots Cast - Democratic Party,,2,,0,,1,,1,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,14.29%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,0,,0.00%,,0,,0,,,0,,
Mike Collier,,2,,100.00%,,0,,1,,,1,,
Total Votes Cast,,2,,100.00%,,0,,1,,,1,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,2,,100.00%,,0,,1,,,1,,
Joe Jaworski,,0,,0.00%,,0,,0,,,0,,
Total Votes Cast,,2,,100.00%,,0,,1,,,1,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,1,,50.00%,,0,,1,,,0,,
Janet T. Dudding,,1,,50.00%,,0,,0,,,1,,
Total Votes Cast,,2,,100.00%,,0,,1,,,1,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,1,,50.00%,,0,,1,,,0,,
Jay Kleberg,,1,,50.00%,,0,,0,,,1,,
Total Votes Cast,,2,,100.00%,,0,,1,,,1,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,,,,,,,,,,329,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2006,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,1,,50.00%,,0,,1,,,0,,
Peter Sakai,,1,,50.00%,,0,,0,,,1,,
Total Votes Cast,,2,,100.00%,,0,,1,,,1,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,1,,50.00%,,0,,0,,,1,,
Maria Teresa Garcia,,1,,50.00%,,0,,1,,,0,,
Total Votes Cast,,2,,100.00%,,0,,1,,,1,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,1,,50.00%,,0,,0,,,1,,
"Christine ""Chris"" Castillo",,1,,50.00%,,0,,1,,,0,,
Total Votes Cast,,2,,100.00%,,0,,1,,,1,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,,,,,,,,,,330,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2007,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,685",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,91,,26,,20,,45,,,,,
Ballots Cast - Democratic Party,,75,,24,,17,,34,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,5.40%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,36,,56.25%,,13,,6,,,17,,
Mike Collier,,28,,43.75%,,8,,10,,,10,,
Total Votes Cast,,64,,100.00%,,21,,16,,,27,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,11,,,,3,,1,,,7,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,47,,71.21%,,16,,12,,,19,,
Joe Jaworski,,19,,28.79%,,6,,5,,,8,,
Total Votes Cast,,66,,100.00%,,22,,17,,,27,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,9,,,,2,,0,,,7,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,38,,59.38%,,12,,12,,,14,,
Janet T. Dudding,,26,,40.62%,,9,,5,,,12,,
Total Votes Cast,,64,,100.00%,,21,,17,,,26,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,11,,,,3,,0,,,8,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,48,,71.64%,,16,,12,,,20,,
Jay Kleberg,,19,,28.36%,,6,,5,,,8,,
Total Votes Cast,,67,,100.00%,,22,,17,,,28,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,2,,0,,,6,,
,,,,,,,,,,331,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2007,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,20,,27.03%,,7,,2,,,11,,
Peter Sakai,,54,,72.97%,,17,,15,,,22,,
Total Votes Cast,,74,,100.00%,,24,,17,,,33,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,0,,0,,,1,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,35,,53.03%,,11,,7,,,17,,
Maria Teresa Garcia,,31,,46.97%,,10,,10,,,11,,
Total Votes Cast,,66,,100.00%,,21,,17,,,28,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,9,,,,3,,0,,,6,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,30,,44.78%,,13,,4,,,13,,
"Christine ""Chris"" Castillo",,37,,55.22%,,9,,13,,,15,,
Total Votes Cast,,67,,100.00%,,22,,17,,,28,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,2,,0,,,6,,
,,,,,,,,,,332,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2008,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,082",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,81,,23,,15,,43,,,,,
Ballots Cast - Democratic Party,,75,,22,,15,,38,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,7.49%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,42,,59.15%,,13,,9,,,20,,
Mike Collier,,29,,40.85%,,7,,6,,,16,,
Total Votes Cast,,71,,100.00%,,20,,15,,,36,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,2,,0,,,2,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,55,,76.39%,,16,,9,,,30,,
Joe Jaworski,,17,,23.61%,,5,,5,,,7,,
Total Votes Cast,,72,,100.00%,,21,,14,,,37,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,1,,1,,,1,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,53,,74.65%,,11,,13,,,29,,
Janet T. Dudding,,18,,25.35%,,9,,2,,,7,,
Total Votes Cast,,71,,100.00%,,20,,15,,,36,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,2,,0,,,2,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,51,,71.83%,,13,,8,,,30,,
Jay Kleberg,,20,,28.17%,,8,,5,,,7,,
Total Votes Cast,,71,,100.00%,,21,,13,,,37,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,1,,2,,,1,,
,,,,,,,,,,333,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2008,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
