political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,#FormatVersion 1,,,,,,
Eastland County,11/8/2022,2022 November 8th General ,3,3,5-Gorman,716,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,11,35
Eastland County,11/8/2022,2022 November 8th General ,3,3,5-Gorman,716,"Justice, Supreme Court, Place 9",Evan Young,REP,79,216
Eastland County,11/8/2022,2022 November 8th General ,3,3,5-Gorman,716,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,12,40
Eastland County,11/8/2022,2022 November 8th General ,3,3,5-Gorman,716,"Judge, Court of Criminal Appeals Place 5",Scott Walker,REP,79,227
Eastland County,11/8/2022,2022 November 8th General ,3,3,5-Gorman,716,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,DEM,11,32
Eastland County,11/8/2022,2022 November 8th General ,3,3,5-Gorman,716,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",REP,78,224
Eastland County,11/8/2022,2022 November 8th General ,3,3,5-Gorman,716,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,DEM,11,32
Eastland County,11/8/2022,2022 November 8th General ,3,3,5-Gorman,716,"Member, State Board of Education, District 14",Evelyn Brooks,REP,77,221
Eastland County,11/8/2022,2022 November 8th General ,3,3,5-Gorman,716,"Member, State Board of Education, District 14",Tracy Fisher,DEM,11,35
Eastland County,11/8/2022,2022 November 8th General ,3,3,5-Gorman,716,"State Senator, District 22",Brian Birdwell,REP,79,231
Eastland County,11/8/2022,2022 November 8th General ,3,3,5-Gorman,716,"State Senator, District 22",Jeremy Schroppel,LIB,7,18
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,U.S. Representative District 25,Roger Williams,REP,75,112
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Governor,Greg Abbott,REP,75,115
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Governor,Beto O'Rourke,DEM,16,3
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Governor,Mark Tippetts,LIB,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Governor,Delilah Barrios,GRN,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Governor,Jacqueline Abernathy,,1,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Governor,Mark V. Goloby,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Governor,Rejected write-ins,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Governor,Unassigned write-ins,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Lieutenant Governor,Dan Patrick,REP,72,113
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Lieutenant Governor,Mike Collier,DEM,17,4
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Lieutenant Governor,Shanna Steele,LIB,3,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Attorney General,Ken Paxton,REP,73,111
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Attorney General,Rochelle Mercedes Garza,DEM,17,5
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Attorney General,Mark Ash,LIB,2,2
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Comptroller of Public Accounts,Glenn Hegar,REP,74,111
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Comptroller of Public Accounts,Janet T. Dudding,DEM,17,5
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,0,1
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Commissioner of the General Land Office,Dawn Buckingham,REP,73,112
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Commissioner of the General Land Office,Jay Kleberg,DEM,17,4
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Commissioner of the General Land Office,"Alfred Molison, Jr",GRN,0,1
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Commissioner of the General Land Office,Carrie Evelyn Menger,,1,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Commissioner of the General Land Office,Rejected write-ins,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Commissioner of the General Land Office,Unassigned write-ins,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Commissioner of Agriculture,Sid Miller,REP,73,113
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Commissioner of Agriculture,Susan Hays,DEM,18,4
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Railroad Commissioner,Wayne Christian,REP,74,111
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Railroad Commissioner,Luke Warford,DEM,17,4
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Railroad Commissioner,Jaime Andres Diez,LIB,0,2
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,Railroad Commissioner,Hunter Wayne Crow,GRN,1,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,73,110
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,17,4
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,0,3
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,73,114
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,17,3
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,"Justice, Supreme Court, Place 9",Evan Young,REP,72,112
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,18,5
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,"Judge, Court of Criminal Appeals Place 5",Scott Walker,REP,73,113
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,DEM,17,4
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",REP,73,113
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,DEM,17,4
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,"Member, State Board of Education, District 14",Evelyn Brooks,REP,73,112
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,"Member, State Board of Education, District 14",Tracy Fisher,DEM,18,4
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,"State Senator, District 22",Brian Birdwell,REP,73,113
Eastland County,11/8/2022,2022 November 8th General ,3,3,6-Carbon,363,"State Senator, District 22",Jeremy Schroppel,LIB,11,4
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,U.S. Representative District 25,Roger Williams,REP,508,606
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Governor,Greg Abbott,REP,502,604
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Governor,Beto O'Rourke,DEM,61,36
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Governor,Mark Tippetts,LIB,2,7
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Governor,Delilah Barrios,GRN,1,1
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Governor,Jacqueline Abernathy,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Governor,Mark V. Goloby,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Governor,Rejected write-ins,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Governor,Unassigned write-ins,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Lieutenant Governor,Dan Patrick,REP,494,594
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Lieutenant Governor,Mike Collier,DEM,62,41
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Lieutenant Governor,Shanna Steele,LIB,7,9
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Attorney General,Ken Paxton,REP,491,600
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Attorney General,Rochelle Mercedes Garza,DEM,64,35
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Attorney General,Mark Ash,LIB,9,9
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Comptroller of Public Accounts,Glenn Hegar,REP,501,606
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Comptroller of Public Accounts,Janet T. Dudding,DEM,61,32
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,5,9
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Commissioner of the General Land Office,Dawn Buckingham,REP,507,608
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Commissioner of the General Land Office,Jay Kleberg,DEM,58,33
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Commissioner of the General Land Office,"Alfred Molison, Jr",GRN,0,2
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Commissioner of the General Land Office,Carrie Evelyn Menger,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Commissioner of the General Land Office,Rejected write-ins,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Commissioner of the General Land Office,Unassigned write-ins,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Commissioner of Agriculture,Sid Miller,REP,503,606
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Commissioner of Agriculture,Susan Hays,DEM,62,38
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Railroad Commissioner,Wayne Christian,REP,499,600
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Railroad Commissioner,Luke Warford,DEM,60,34
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Railroad Commissioner,Jaime Andres Diez,LIB,4,9
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,Railroad Commissioner,Hunter Wayne Crow,GRN,1,1
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,497,608
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,59,30
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,8,9
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,504,611
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,57,34
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,"Justice, Supreme Court, Place 9",Evan Young,REP,500,611
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,60,33
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,"Judge, Court of Criminal Appeals Place 5",Scott Walker,REP,500,608
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,DEM,56,37
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",REP,501,606
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,DEM,54,37
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,"Member, State Board of Education, District 14",Evelyn Brooks,REP,499,610
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,"Member, State Board of Education, District 14",Tracy Fisher,DEM,58,33
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,"State Senator, District 22",Brian Birdwell,REP,504,607
Eastland County,11/8/2022,2022 November 8th General ,3,3,7-Rising Star,2156,"State Senator, District 22",Jeremy Schroppel,LIB,36,27
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,U.S. Representative District 25,Roger Williams,REP,693,595
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Governor,Greg Abbott,REP,685,582
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Governor,Beto O'Rourke,DEM,103,74
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Governor,Mark Tippetts,LIB,3,8
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Governor,Delilah Barrios,GRN,0,2
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Governor,Jacqueline Abernathy,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Governor,Mark V. Goloby,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Governor,Rejected write-ins,,0,1
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Governor,Unassigned write-ins,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Lieutenant Governor,Dan Patrick,REP,680,569
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Lieutenant Governor,Mike Collier,DEM,106,81
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Lieutenant Governor,Shanna Steele,LIB,2,13
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Attorney General,Ken Paxton,REP,674,574
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Attorney General,Rochelle Mercedes Garza,DEM,107,76
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Attorney General,Mark Ash,LIB,7,13
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Comptroller of Public Accounts,Glenn Hegar,REP,684,580
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Comptroller of Public Accounts,Janet T. Dudding,DEM,100,71
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,5,14
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Commissioner of the General Land Office,Dawn Buckingham,REP,681,582
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Commissioner of the General Land Office,Jay Kleberg,DEM,102,74
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Commissioner of the General Land Office,"Alfred Molison, Jr",GRN,3,4
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Commissioner of the General Land Office,Carrie Evelyn Menger,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Commissioner of the General Land Office,Rejected write-ins,,0,1
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Commissioner of the General Land Office,Unassigned write-ins,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Commissioner of Agriculture,Sid Miller,REP,681,587
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Commissioner of Agriculture,Susan Hays,DEM,103,78
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Railroad Commissioner,Wayne Christian,REP,680,576
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Railroad Commissioner,Luke Warford,DEM,100,74
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Railroad Commissioner,Jaime Andres Diez,LIB,4,8
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,Railroad Commissioner,Hunter Wayne Crow,GRN,2,7
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,687,573
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,98,75
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,3,14
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,689,587
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,98,78
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,"Justice, Supreme Court, Place 9",Evan Young,REP,689,585
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,97,79
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,"Judge, Court of Criminal Appeals Place 5",Scott Walker,REP,682,584
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,DEM,99,81
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",REP,677,585
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,DEM,102,80
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,"Member, State Board of Education, District 14",Evelyn Brooks,REP,681,582
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,"Member, State Board of Education, District 14",Tracy Fisher,DEM,102,81
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,"State Senator, District 22",Brian Birdwell,REP,692,592
Eastland County,11/8/2022,2022 November 8th General ,3,3,8-Cisco,2980,"State Senator, District 22",Jeremy Schroppel,LIB,65,58
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,U.S. Representative District 25,Roger Williams,REP,202,162
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Governor,Greg Abbott,REP,204,161
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Governor,Beto O'Rourke,DEM,20,10
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Governor,Mark Tippetts,LIB,0,1
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Governor,Delilah Barrios,GRN,2,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Governor,Jacqueline Abernathy,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Governor,Mark V. Goloby,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Governor,Rejected write-ins,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Governor,Unassigned write-ins,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Lieutenant Governor,Dan Patrick,REP,201,156
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Lieutenant Governor,Mike Collier,DEM,22,12
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Lieutenant Governor,Shanna Steele,LIB,2,3
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Attorney General,Ken Paxton,REP,203,154
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Attorney General,Rochelle Mercedes Garza,DEM,21,13
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Attorney General,Mark Ash,LIB,2,4
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Comptroller of Public Accounts,Glenn Hegar,REP,204,158
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Comptroller of Public Accounts,Janet T. Dudding,DEM,19,9
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,0,2
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Commissioner of the General Land Office,Dawn Buckingham,REP,203,161
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Commissioner of the General Land Office,Jay Kleberg,DEM,20,9
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Commissioner of the General Land Office,"Alfred Molison, Jr",GRN,1,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Commissioner of the General Land Office,Carrie Evelyn Menger,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Commissioner of the General Land Office,Rejected write-ins,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Commissioner of the General Land Office,Unassigned write-ins,,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Commissioner of Agriculture,Sid Miller,REP,201,159
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Commissioner of Agriculture,Susan Hays,DEM,21,11
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Railroad Commissioner,Wayne Christian,REP,203,156
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Railroad Commissioner,Luke Warford,DEM,20,10
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Railroad Commissioner,Jaime Andres Diez,LIB,1,2
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,Railroad Commissioner,Hunter Wayne Crow,GRN,0,0
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,203,158
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,21,11
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,1,2
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,204,160
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,20,10
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,"Justice, Supreme Court, Place 9",Evan Young,REP,204,160
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,20,10
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,"Judge, Court of Criminal Appeals Place 5",Scott Walker,REP,201,158
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,DEM,19,11
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",REP,200,159
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,DEM,22,11
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,"Member, State Board of Education, District 14",Evelyn Brooks,REP,202,157
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,"Member, State Board of Education, District 14",Tracy Fisher,DEM,18,12
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,"State Senator, District 22",Brian Birdwell,REP,200,157
Eastland County,11/8/2022,2022 November 8th General ,3,3,9-Lake Leon,616,"State Senator, District 22",Jeremy Schroppel,LIB,15,8
